#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.106551e-02       2.575836e-03       4.960336e-03       2.484381e-02       1.023368e-02       1.543066e-02
          10       2.869565e-02       3.020784e-03       1.447970e-02       5.749139e-02       2.142161e-02       3.825183e-02
          20       4.468253e-02       4.004567e-03       1.944300e-02       6.633811e-02       2.973036e-02       4.925781e-02
          30       2.348009e-02       7.730343e-03       1.526455e-02       7.225260e-02       2.524084e-02       5.599450e-02
          40       4.542056e-02       9.538933e-03       2.645592e-02       9.870820e-02       2.952409e-02       6.551354e-02
          50       2.364839e-02       9.634073e-03       1.845034e-02       9.014318e-02       2.373281e-02       5.500760e-02
          60       5.553379e-02       1.066537e-02       3.050203e-02       9.830774e-02       3.164015e-02       7.340239e-02
          70       6.590429e-02       3.819768e-03       4.018083e-02       1.458171e-01       2.663736e-02       9.233178e-02
          80       6.914372e-02       6.375822e-03       3.760674e-02       1.031970e-01       4.137939e-02       8.159738e-02
          90       5.522974e-02       3.937749e-03       2.824920e-02       9.120087e-02       3.705338e-02       6.662502e-02
         100       3.210690e-02       1.280084e-02       1.826450e-02       8.361745e-02       3.282974e-02       5.626899e-02
         110       8.627621e-02       1.454457e-02       3.862755e-02       1.197832e-01       4.924718e-02       8.159414e-02
         120       6.879412e-02       8.495841e-03       3.230306e-02       1.342239e-01       3.822988e-02       8.337138e-02
         130       6.043545e-02       7.149873e-03       2.567378e-02       1.352116e-01       3.759495e-02       7.212847e-02
         140       5.082138e-02       8.459964e-03       2.149897e-02       1.275356e-01       3.896153e-02       7.175719e-02
         150       6.486636e-02       8.341156e-03       2.476300e-02       9.715223e-02       4.561084e-02       7.001796e-02
         160       4.579293e-02       6.569814e-03       1.832538e-02       8.576424e-02       4.700615e-02       5.771833e-02
         170       4.294709e-02       1.102038e-02       2.088286e-02       1.037104e-01       4.043801e-02       6.055483e-02
         180       4.455474e-02       7.175828e-03       2.271593e-02       8.327687e-02       4.598322e-02       6.718866e-02
         190       7.183740e-02       1.262538e-02       3.004403e-02       1.050237e-01       2.638283e-02       6.465276e-02
         200       6.279462e-02       5.766738e-03       2.734651e-02       8.330427e-02       4.542764e-02       6.522530e-02
         210       6.279569e-02       6.753338e-03       2.612541e-02       8.864778e-02       4.579769e-02       6.890560e-02
         220       7.011232e-02       9.365957e-03       2.783119e-02       1.042366e-01       4.761207e-02       7.005759e-02
         230       7.555760e-02       4.537230e-03       2.975307e-02       9.991701e-02       5.219573e-02       7.373695e-02
         240       5.540337e-02       6.625426e-03       2.354875e-02       7.646578e-02       2.285171e-02       5.396957e-02
         250       5.584647e-02       1.099596e-02       2.514597e-02       9.220800e-02       2.457204e-02       5.609846e-02
         260       5.669947e-02       8.603892e-03       2.495039e-02       8.400919e-02       3.446221e-02       5.941385e-02
         270       6.229060e-02       1.288222e-02       2.873445e-02       8.712639e-02       3.455500e-02       6.142443e-02
         280       8.121384e-02       6.473114e-03       3.431934e-02       7.949091e-02       5.867539e-02       6.739474e-02
         290       8.856520e-02       4.208667e-03       3.385720e-02       8.899498e-02       4.823762e-02       6.627299e-02
         300       7.992907e-02       9.664922e-03       3.301423e-02       8.529287e-02       5.008877e-02       6.888146e-02
         310       7.879051e-02       8.952921e-03       3.197110e-02       1.011083e-01       4.093873e-02       6.302912e-02
         320       9.978933e-02       6.067476e-03       3.723503e-02       8.768900e-02       4.606939e-02       6.902469e-02
         330       5.742974e-02       1.433262e-02       3.040522e-02       1.039283e-01       2.226074e-02       6.667345e-02
         340       7.600699e-02       1.032488e-02       3.177609e-02       7.260135e-02       3.781371e-02       6.032152e-02
         350       8.481070e-02       4.601065e-03       3.563906e-02       1.086121e-01       3.790378e-02       7.616278e-02
         360       1.243675e-01       3.015009e-03       4.742301e-02       1.624729e-01       5.107979e-02       8.868812e-02
         370       1.216230e-01       5.681740e-03       4.790635e-02       1.422947e-01       6.603919e-02       9.062089e-02
         380       6.894425e-02       2.356187e-03       3.434670e-02       1.124268e-01       6.620806e-02       8.403697e-02
         390       7.412226e-02       7.330944e-03       3.685837e-02       1.045105e-01       2.745723e-02       7.303304e-02
         400       6.783912e-02       8.582450e-03       3.783874e-02       1.236008e-01       4.266892e-02       8.585371e-02
         410       8.037050e-02       1.248887e-02       3.901003e-02       1.223038e-01       3.925234e-02       8.079438e-02
         420       9.944668e-02       1.208062e-02       4.357905e-02       9.817083e-02       6.414241e-02       8.317628e-02
         430       5.638146e-02       1.642472e-02       3.212361e-02       9.251996e-02       3.073449e-02       6.681628e-02
         440       3.892091e-02       1.626879e-02       2.614989e-02       9.610513e-02       5.096289e-02       7.036901e-02
         450       6.489498e-02       1.407939e-02       3.346375e-02       1.023269e-01       2.816236e-02       7.576924e-02
         460       4.173917e-02       1.317749e-02       2.343478e-02       1.179650e-01       2.771634e-02       6.608724e-02
         470       4.397429e-02       1.399796e-02       2.260635e-02       1.241404e-01       3.107620e-02       6.427872e-02
         480       6.516131e-02       5.099547e-03       2.917041e-02       1.120797e-01       4.995727e-02       7.737250e-02
         490       7.145077e-02       9.186837e-03       3.212211e-02       1.128318e-01       4.804424e-02       7.808790e-02
         500       6.004958e-02       1.077652e-02       2.996708e-02       9.793709e-02       4.205296e-02       7.018963e-02
         510       4.363309e-02       1.094035e-02       2.539876e-02       8.882149e-02       4.116487e-02       6.399427e-02
         520       4.998626e-02       1.004750e-02       2.725712e-02       1.024709e-01       4.728655e-02       6.682614e-02
         530       5.962714e-02       4.077103e-03       3.037878e-02       1.110698e-01       4.808851e-02       8.520487e-02
         540       3.841838e-02       5.892624e-03       2.183509e-02       9.959843e-02       4.839031e-02       6.721690e-02
         550       3.930850e-02       1.176684e-02       2.216683e-02       1.011037e-01       4.795488e-02       7.124208e-02
         560       3.209786e-02       5.467137e-03       1.736679e-02       1.058356e-01       4.484618e-02       6.998195e-02
         570       3.232900e-02       7.193711e-03       1.927978e-02       8.143412e-02       3.419936e-02       5.855988e-02
         580       3.462252e-02       4.253992e-03       1.958437e-02       8.638863e-02       3.746608e-02       6.532243e-02
         590       3.252932e-02       4.486307e-03       2.082065e-02       1.047568e-01       3.982144e-02       7.183004e-02
         600       7.546694e-02       6.689695e-03       2.995755e-02       9.295243e-02       5.461083e-02       7.235202e-02
         610       6.680781e-02       8.112564e-03       2.634105e-02       9.007664e-02       4.094112e-02       5.773337e-02
         620       7.717216e-02       8.100329e-03       3.558610e-02       1.118613e-01       3.987082e-02       8.019379e-02
         630       7.815680e-02       6.568934e-03       3.114858e-02       8.283511e-02       3.995061e-02       6.663445e-02
         640       4.898411e-02       5.289015e-03       2.507383e-02       9.135234e-02       3.599362e-02       6.503439e-02
         650       8.325581e-02       3.562625e-03       3.405705e-02       9.614302e-02       3.649206e-02       7.761327e-02
         660       4.106466e-02       1.501765e-02       2.543313e-02       7.790754e-02       3.774638e-02       6.317523e-02
         670       3.029172e-02       6.986127e-03       1.850703e-02       7.642365e-02       3.225663e-02       5.126364e-02
         680       4.673336e-02       8.059664e-03       2.563087e-02       1.093215e-01       1.882143e-02       6.660434e-02
