#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.948348e-02       5.993946e-03       1.262677e-02       7.218101e-02       2.524104e-02       4.713911e-02
          10       1.441162e-02       2.732263e-03       9.702282e-03       6.206611e-02       2.191180e-02       3.477246e-02
          20       7.651078e-03       3.371985e-03       4.845555e-03       2.156640e-02       1.312530e-02       1.676018e-02
          30       7.347279e-03       2.341393e-03       4.286510e-03       2.698286e-02       1.089145e-02       1.757671e-02
          40       9.957335e-03       1.263835e-03       5.663525e-03       2.003382e-02       1.099741e-02       1.511753e-02
          50       6.442784e-03       1.322561e-03       3.808915e-03       1.639050e-02       5.965656e-03       1.012851e-02
          60       8.378481e-03       1.396917e-03       4.805780e-03       1.894928e-02       7.925616e-03       1.126399e-02
          70       9.290239e-03       1.641348e-03       5.304724e-03       1.810360e-02       8.817249e-03       1.159862e-02
          80       8.185004e-03       2.382453e-03       5.424045e-03       2.110019e-02       8.869829e-03       1.282138e-02
          90       5.091596e-03       2.173466e-03       3.647542e-03       1.479163e-02       6.556658e-03       9.522167e-03
         100       9.984418e-03       8.058940e-04       4.778019e-03       1.914684e-02       1.139215e-02       1.533134e-02
         110       6.163746e-03       1.178198e-03       4.314142e-03       2.502674e-02       1.035820e-02       1.479465e-02
         120       1.392128e-02       3.250498e-03       7.065923e-03       2.250138e-02       1.544674e-02       1.962636e-02
         130       1.284660e-02       1.860704e-03       7.627597e-03       2.860785e-02       1.171583e-02       2.062710e-02
         140       1.223952e-02       4.261519e-03       7.197867e-03       2.831718e-02       1.791221e-02       2.262634e-02
         150       7.544449e-03       1.548610e-03       4.259023e-03       2.056309e-02       9.300662e-03       1.490495e-02
         160       1.096958e-02       3.452129e-03       6.334052e-03       2.967245e-02       1.522426e-02       2.223335e-02
         170       1.158622e-02       3.241507e-03       7.619143e-03       2.868168e-02       1.307722e-02       2.090371e-02
         180       1.434321e-02       3.091788e-03       7.899235e-03       3.414137e-02       1.392710e-02       2.146759e-02
         190       8.238020e-03       1.096847e-03       5.408150e-03       2.439972e-02       1.281879e-02       1.742886e-02
         200       1.002811e-02       1.603046e-03       5.112723e-03       2.032675e-02       1.140570e-02       1.426489e-02
         210       9.462721e-03       1.759385e-03       5.524564e-03       2.146500e-02       9.958963e-03       1.419346e-02
         220       8.361716e-03       1.735504e-03       5.241346e-03       1.860070e-02       9.887462e-03       1.332117e-02
         230       8.977896e-03       2.072896e-03       5.494549e-03       1.744417e-02       9.285928e-03       1.333032e-02
         240       1.142574e-02       2.692534e-03       6.112176e-03       1.873054e-02       1.215243e-02       1.550415e-02
         250       6.686063e-03       3.075531e-03       5.649495e-03       2.932285e-02       1.289571e-02       2.012698e-02
         260       1.443273e-02       4.850870e-03       7.794088e-03       2.865851e-02       1.925744e-02       2.437282e-02
         270       7.916767e-03       3.400434e-03       5.398227e-03       2.924853e-02       1.250676e-02       2.223669e-02
         280       1.565701e-02       2.292438e-03       8.623694e-03       2.691291e-02       1.147910e-02       2.172185e-02
         290       1.274622e-02       1.617545e-03       7.550603e-03       2.673932e-02       1.451149e-02       2.043542e-02
         300       9.079909e-03       1.038624e-03       4.984399e-03       2.335845e-02       1.402392e-02       1.859609e-02
         310       1.365042e-02       1.507328e-03       7.151875e-03       2.927642e-02       1.855624e-02       2.276322e-02
         320       1.136307e-02       1.690215e-03       5.934572e-03       3.171720e-02       1.278370e-02       2.033922e-02
         330       1.055437e-02       2.150234e-03       5.641243e-03       1.819521e-02       1.156665e-02       1.572153e-02
         340       8.883218e-03       3.037906e-03       5.159680e-03       1.373771e-02       8.166219e-03       1.051781e-02
         350       6.235851e-03       3.637710e-03       5.066487e-03       2.415200e-02       1.030464e-02       1.637009e-02
         360       7.895867e-03       2.802802e-03       5.172301e-03       2.419397e-02       9.661423e-03       1.679618e-02
         370       1.375043e-02       2.310126e-03       9.021404e-03       3.082627e-02       7.671586e-03       2.055391e-02
         380       8.837720e-03       2.442054e-03       4.742873e-03       2.623344e-02       8.244391e-03       1.410281e-02
         390       5.536246e-03       2.443121e-03       3.615537e-03       2.342488e-02       9.371050e-03       1.456709e-02
         400       9.850784e-03       1.357169e-03       5.924800e-03       2.478110e-02       1.001826e-02       1.780145e-02
         410       1.108234e-02       4.250330e-03       6.839298e-03       2.947528e-02       1.013896e-02       1.794580e-02
         420       7.814329e-03       1.080507e-03       5.203403e-03       2.516993e-02       1.202360e-02       1.848262e-02
         430       8.297494e-03       1.200626e-03       4.884302e-03       2.516421e-02       5.668512e-03       1.834441e-02
         440       1.055876e-02       3.325843e-03       6.393054e-03       3.136881e-02       1.084254e-02       2.128767e-02
         450       1.140912e-02       2.461368e-03       7.440642e-03       3.155118e-02       9.597889e-03       2.247326e-02
         460       9.595476e-03       2.498729e-03       5.358605e-03       2.715547e-02       7.167997e-03       1.773684e-02
         470       9.047439e-03       2.380871e-03       5.615905e-03       2.056747e-02       9.251911e-03       1.468221e-02
         480       1.015235e-02       2.466318e-03       5.355025e-03       2.423794e-02       6.832564e-03       1.639919e-02
         490       1.101013e-02       2.551334e-03       6.235907e-03       2.491334e-02       1.030854e-02       1.613372e-02
         500       9.492453e-03       3.008641e-03       5.382841e-03       2.036750e-02       5.968219e-03       1.325141e-02
         510       1.463347e-02       3.285104e-03       8.640154e-03       4.503991e-02       1.041011e-02       2.154150e-02
         520       8.092015e-03       3.041017e-03       5.281136e-03       1.944129e-02       1.001507e-02       1.393634e-02
         530       1.611908e-02       2.647572e-03       7.026517e-03       2.605153e-02       9.404888e-03       1.730083e-02
         540       1.029401e-02       1.136124e-03       4.592383e-03       1.942413e-02       7.510790e-03       1.347898e-02
         550       1.226187e-02       2.537250e-03       5.834366e-03       3.031924e-02       1.037064e-02       1.673322e-02
         560       1.200762e-02       5.627361e-03       7.282271e-03       3.339112e-02       1.061991e-02       1.793939e-02
         570       8.548589e-03       2.651740e-03       4.860916e-03       2.517563e-02       9.446606e-03       1.519026e-02
         580       8.469019e-03       5.835770e-04       4.058987e-03       1.798486e-02       9.391369e-03       1.344559e-02
         590       8.564937e-03       2.662437e-03       4.636397e-03       2.708025e-02       1.001082e-02       1.584145e-02
         600       6.500077e-03       1.959030e-03       3.978641e-03       2.452248e-02       9.217523e-03       1.365151e-02
         610       1.307546e-02       1.193738e-03       7.470953e-03       2.428305e-02       9.144968e-03       1.715571e-02
         620       1.309203e-02       2.284362e-04       6.817893e-03       3.509869e-02       9.341110e-03       1.894833e-02
         630       9.451652e-03       2.915762e-03       5.603185e-03       2.804613e-02       1.025474e-02       2.026570e-02
         640       2.001295e-02       2.525890e-03       8.602449e-03       2.995997e-02       4.571933e-03       2.235756e-02
         650       6.720529e-03       4.883667e-03       5.431636e-03       2.719244e-02       7.356192e-03       2.073699e-02
         660       7.443143e-03       1.127895e-03       4.927308e-03       2.781223e-02       8.878301e-03       1.886150e-02
         670       1.012248e-02       3.193343e-03       5.325719e-03       2.558072e-02       7.303449e-03       1.837021e-02
         680       8.377441e-03       2.114001e-03       4.839729e-03       2.008692e-02       6.882320e-03       1.431064e-02
         690       6.619866e-03       2.397681e-03       5.209278e-03       2.457947e-02       8.455881e-03       1.735948e-02
         700       9.363341e-03       1.799524e-03       4.788034e-03       2.186298e-02       5.435824e-03       1.562700e-02
         710       1.333919e-02       2.986620e-03       7.199105e-03       2.104501e-02       7.424070e-03       1.557534e-02
         720       2.075802e-02       2.015084e-03       9.397388e-03       3.514798e-02       1.348398e-02       2.324071e-02
         730       1.304616e-02       3.653404e-03       7.136405e-03       4.263435e-02       6.929246e-03       1.882927e-02
         740       9.297572e-03       2.146965e-03       5.118237e-03       2.475269e-02       5.979650e-03       1.345909e-02
         750       5.751981e-03       1.837489e-03       2.867553e-03       1.193040e-02       6.146290e-03       9.060923e-03
         760       4.784665e-03       2.124721e-03       3.294755e-03       1.602981e-02       5.556574e-03       1.122536e-02
         770       1.022486e-02       2.516190e-03       5.761317e-03       3.004079e-02       9.397689e-03       1.816508e-02
         780       7.570458e-03       3.138266e-03       4.956131e-03       2.681462e-02       8.464250e-03       1.738048e-02
         790       8.270278e-03       1.099804e-03       5.211321e-03       3.372096e-02       1.072532e-02       2.066578e-02
         800       9.000968e-03       2.708361e-04       6.040161e-03       2.630971e-02       8.363103e-03       2.168378e-02
         810       1.317068e-02       7.886494e-04       7.079538e-03       2.965200e-02       1.416794e-02       2.167611e-02
         820       1.526638e-02       2.290007e-03       7.898908e-03       2.591966e-02       1.163725e-02       1.939434e-02
         830       1.028450e-02       2.377199e-03       5.508101e-03       2.725971e-02       1.235413e-02       1.812464e-02
         840       1.177000e-02       2.700659e-03       6.702171e-03       2.483750e-02       1.328812e-02       1.817016e-02
         850       5.418709e-03       4.308612e-03       5.024165e-03       2.576892e-02       1.169215e-02       1.833622e-02
         860       1.119548e-02       5.164464e-03       8.753438e-03       3.468465e-02       1.152886e-02       2.426710e-02
         870       1.302150e-02       5.916792e-03       9.355938e-03       3.741620e-02       1.467482e-02       2.600248e-02
         880       1.203267e-02       4.451947e-03       7.865177e-03       3.695479e-02       1.825668e-02       2.625438e-02
         890       1.111737e-02       2.987442e-03       6.391549e-03       2.702648e-02       9.797591e-03       1.639199e-02
         900       8.945952e-03       2.881380e-03       6.385990e-03       2.817562e-02       1.179749e-02       1.651687e-02
         910       8.410311e-03       4.360907e-03       6.942689e-03       3.085430e-02       1.097886e-02       1.965467e-02
         920       7.636925e-03       2.106217e-03       4.957334e-03       2.221499e-02       9.338975e-03       1.761270e-02
         930       6.176336e-03       1.708590e-03       4.300329e-03       2.037080e-02       1.288871e-02       1.576291e-02
         940       7.353674e-03       2.920889e-03       5.902435e-03       2.224751e-02       6.753818e-03       1.447757e-02
         950       7.940565e-03       1.947939e-03       5.831681e-03       3.024271e-02       1.044901e-02       2.003932e-02
         960       8.984010e-03       1.624672e-03       6.598878e-03       2.696840e-02       8.337517e-03       1.698878e-02
         970       1.062490e-02       5.619430e-03       7.306039e-03       3.382753e-02       1.063149e-02       2.102840e-02
