#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       2.155864e-02       1.903080e-04       8.057781e-03       1.474951e-02       7.271491e-03       1.290556e-02
          10       1.811503e-02       4.371423e-04       6.988580e-03       1.477386e-02       6.132878e-03       1.204370e-02
          20       1.323458e-02       5.524681e-04       5.479600e-03       1.460680e-02       7.909690e-03       1.129219e-02
          30       1.402864e-02       7.678637e-04       5.446214e-03       1.305708e-02       4.274215e-03       9.798391e-03
          40       1.453014e-02       9.588418e-04       6.093735e-03       1.720048e-02       8.643669e-03       1.249018e-02
          50       1.366930e-02       1.391603e-03       5.557628e-03       1.658680e-02       7.903008e-03       1.242651e-02
          60       1.105646e-02       2.187726e-03       5.600685e-03       1.931277e-02       8.092609e-03       1.338301e-02
          70       9.386849e-03       2.213116e-03       5.046680e-03       2.119084e-02       8.866191e-03       1.336132e-02
          80       1.424339e-02       7.409681e-04       5.596777e-03       2.501203e-02       5.544669e-03       1.158384e-02
          90       1.119258e-02       9.583477e-04       4.457376e-03       1.595821e-02       5.576332e-03       9.497122e-03
         100       1.178207e-02       3.086111e-04       4.813271e-03       1.514786e-02       4.967815e-03       1.034116e-02
         110       8.112260e-03       9.927081e-04       4.010172e-03       1.540021e-02       7.806730e-03       1.171347e-02
         120       7.935379e-03       1.112427e-03       3.391202e-03       1.297519e-02       6.285617e-03       1.010942e-02
         130       7.671284e-03       1.089411e-03       4.003814e-03       1.630840e-02       6.906055e-03       1.052522e-02
         140       6.000024e-03       8.650594e-04       2.640385e-03       1.607423e-02       4.782113e-03       8.622295e-03
         150       1.099539e-02       7.731453e-04       4.812201e-03       2.063340e-02       5.524632e-03       1.360696e-02
         160       1.712366e-02       9.744662e-04       6.558049e-03       1.897861e-02       8.268714e-03       1.421933e-02
         170       1.668431e-02       7.314283e-04       6.712554e-03       3.281572e-02       3.889637e-03       1.389471e-02
         180       1.323681e-02       6.486587e-04       5.404853e-03       1.936886e-02       8.688106e-03       1.301848e-02
         190       1.008642e-02       7.513386e-04       5.695399e-03       1.731747e-02       8.332209e-03       1.272759e-02
         200       1.041762e-02       2.555442e-04       4.500864e-03       2.168728e-02       6.002782e-03       1.415560e-02
         210       6.402155e-03       6.177871e-04       4.165679e-03       2.837722e-02       7.176315e-03       1.923689e-02
         220       7.999956e-03       7.622260e-04       4.554701e-03       2.456533e-02       4.651353e-03       1.735985e-02
         230       1.299354e-02       1.119883e-03       6.358518e-03       2.561787e-02       6.728259e-03       1.764499e-02
