#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       8.889034e-03       1.006327e-03       3.933660e-03       1.566078e-02       6.425978e-03       1.097223e-02
          10       7.615053e-03       2.288522e-03       4.585222e-03       2.353671e-02       4.131684e-03       1.441763e-02
          20       7.795077e-03       1.736954e-03       4.325884e-03       2.375547e-02       1.058215e-02       1.536644e-02
          30       6.807629e-03       1.209387e-03       4.351562e-03       1.956525e-02       4.861500e-03       1.120379e-02
          40       3.928227e-03       1.981402e-03       3.116424e-03       1.418352e-02       5.696684e-03       9.373936e-03
          50       3.420196e-03       1.558871e-03       2.620233e-03       1.187456e-02       5.795138e-03       8.878437e-03
          60       6.176312e-03       1.403739e-03       3.217014e-03       1.205730e-02       6.079819e-03       8.948734e-03
          70       1.082315e-02       1.787997e-03       4.899038e-03       1.593116e-02       5.532986e-03       1.102382e-02
          80       5.753140e-03       1.108683e-03       3.427492e-03       1.949935e-02       6.454483e-03       1.063694e-02
          90       5.058312e-03       1.832003e-03       2.851076e-03       1.876609e-02       5.839085e-03       1.079694e-02
         100       1.161694e-02       1.771201e-03       4.798098e-03       1.595251e-02       7.060804e-03       1.096939e-02
         110       6.873243e-03       6.669373e-04       3.983379e-03       1.825057e-02       2.829556e-03       1.147574e-02
         120       1.267577e-02       8.197973e-04       6.165554e-03       3.670077e-02       8.158891e-03       1.973923e-02
         130       7.800976e-03       1.545727e-03       4.673170e-03       2.921039e-02       7.010297e-03       1.599340e-02
         140       8.759627e-03       8.382941e-04       4.108510e-03       2.313056e-02       8.676976e-03       1.502840e-02
         150       1.082199e-02       2.955009e-03       6.623087e-03       3.868422e-02       8.493137e-03       2.099388e-02
         160       1.102966e-02       1.881295e-03       7.429218e-03       3.732025e-02       5.481291e-03       2.444396e-02
         170       6.188273e-03       1.255243e-03       3.939543e-03       1.948655e-02       8.165102e-03       1.397545e-02
         180       8.097899e-03       2.736238e-03       4.749926e-03       1.881362e-02       6.440916e-03       1.312740e-02
         190       9.939107e-03       5.436387e-04       4.047877e-03       2.115330e-02       6.456411e-03       1.390718e-02
         200       5.252845e-03       1.002297e-03       2.873589e-03       1.301185e-02       2.783830e-03       8.653389e-03
         210       4.499322e-03       1.842945e-03       2.776599e-03       1.241455e-02       3.902178e-03       8.281286e-03
         220       1.098619e-02       3.895619e-03       6.180365e-03       3.055677e-02       6.671142e-03       1.408460e-02
         230       4.831538e-03       7.537990e-04       2.762364e-03       1.161274e-02       4.673021e-03       8.269140e-03
         240       4.880061e-03       1.124559e-03       2.733492e-03       1.186791e-02       2.000330e-03       7.562771e-03
         250       5.482752e-03       1.673607e-03       3.143504e-03       1.363808e-02       6.458648e-03       9.999452e-03
         260       7.251341e-03       1.692817e-03       4.566145e-03       1.878212e-02       8.643706e-03       1.312925e-02
         270       1.393175e-02       1.808335e-03       6.604082e-03       3.325634e-02       1.425941e-02       2.144590e-02
         280       1.210964e-02       2.705942e-03       6.871658e-03       2.901722e-02       1.072212e-02       1.912395e-02
         290       7.912554e-03       2.827931e-03       4.991111e-03       2.661579e-02       1.149672e-02       2.054929e-02
         300       1.529819e-02       2.661897e-03       7.724947e-03       3.055750e-02       1.317176e-02       2.083531e-02
         310       7.497579e-03       2.626405e-03       4.892626e-03       3.072627e-02       8.248089e-03       1.731450e-02
         320       9.549325e-03       2.525886e-03       4.987515e-03       2.063875e-02       8.819916e-03       1.532233e-02
         330       7.908299e-03       3.605781e-03       6.101772e-03       3.596682e-02       9.070574e-03       2.263978e-02
         340       8.834625e-03       3.707416e-03       6.136730e-03       2.877049e-02       1.101700e-02       2.007826e-02
         350       1.466232e-02       2.856180e-03       8.189067e-03       2.550781e-02       8.898947e-03       1.779927e-02
         360       1.179341e-02       3.047068e-03       6.258350e-03       1.932519e-02       1.020157e-02       1.362092e-02
         370       1.085923e-02       1.380344e-03       5.802368e-03       1.806905e-02       5.228369e-03       1.296244e-02
         380       9.815659e-03       1.950157e-03       4.692250e-03       1.837971e-02       5.710901e-03       1.092558e-02
         390       1.149767e-02       1.185238e-03       5.631438e-03       2.111261e-02       4.532078e-03       1.201029e-02
         400       1.373766e-02       2.077978e-03       7.823325e-03       3.517470e-02       5.603303e-03       1.713714e-02
         410       1.419284e-02       2.866757e-03       7.648479e-03       2.986918e-02       1.042495e-02       2.231516e-02
         420       1.171848e-02       1.764312e-03       5.571918e-03       3.130197e-02       9.893087e-03       2.055894e-02
         430       1.852665e-02       1.441671e-03       8.143010e-03       3.253429e-02       7.700962e-03       1.907073e-02
         440       1.739480e-02       1.026498e-03       6.939839e-03       2.406966e-02       8.693963e-03       1.509380e-02
         450       1.334533e-02       7.490783e-04       5.937909e-03       2.966023e-02       6.689759e-03       1.720080e-02
         460       1.023795e-02       1.852070e-03       5.368232e-03       3.066095e-02       1.072605e-02       1.839146e-02
         470       1.183449e-02       1.750520e-03       6.274587e-03       2.178235e-02       1.614189e-02       2.010478e-02
         480       5.562082e-03       1.192300e-03       3.759076e-03       1.876780e-02       7.928606e-03       1.333049e-02
         490       9.831267e-03       1.835784e-03       6.105757e-03       2.539566e-02       9.408520e-03       1.562267e-02
         500       1.617555e-02       2.112230e-03       6.759162e-03       2.597467e-02       8.870807e-03       1.826944e-02
         510       1.067939e-02       5.407942e-04       4.940431e-03       1.798863e-02       8.418359e-03       1.287866e-02
         520       9.994972e-03       1.424792e-03       5.375470e-03       1.753281e-02       9.472524e-03       1.306145e-02
         530       9.162853e-03       7.618087e-04       4.343676e-03       3.159538e-02       6.089934e-03       1.432116e-02
         540       1.141356e-02       1.034360e-03       5.248521e-03       2.427716e-02       6.028535e-03       1.259214e-02
         550       1.255895e-02       5.486534e-04       4.743796e-03       1.544350e-02       6.925663e-03       1.047472e-02
         560       8.948296e-03       1.231653e-03       4.112817e-03       2.281648e-02       5.325169e-03       1.248276e-02
         570       5.235500e-03       1.392605e-03       2.796232e-03       1.026066e-02       6.812258e-03       8.227199e-03
         580       8.136004e-03       1.417456e-03       4.110788e-03       1.562167e-02       7.965849e-03       1.138475e-02
         590       4.595686e-03       5.805514e-04       2.247063e-03       2.265598e-02       8.743907e-03       1.433930e-02
         600       4.517400e-03       9.293136e-04       2.584189e-03       1.643952e-02       6.216477e-03       1.212698e-02
         610       9.322053e-03       2.648036e-03       5.307605e-03       3.006493e-02       6.515668e-03       1.896117e-02
         620       7.096713e-03       3.604503e-03       5.370879e-03       3.036053e-02       4.541727e-03       1.808414e-02
         630       8.172564e-03       1.455059e-03       3.996249e-03       2.273058e-02       7.841175e-03       1.391892e-02
         640       5.241055e-03       2.594980e-03       3.853624e-03       2.156634e-02       5.210307e-03       1.281326e-02
         650       9.142320e-03       2.219165e-03       4.705369e-03       2.087109e-02       2.762689e-03       1.325391e-02
         660       8.986340e-03       9.546267e-04       5.331792e-03       2.729001e-02       4.984241e-03       1.488189e-02
         670       8.144061e-03       3.853593e-04       3.917859e-03       1.862281e-02       4.678614e-03       1.114440e-02
         680       9.097862e-03       1.750419e-03       4.092155e-03       1.499678e-02       4.428749e-03       1.070723e-02
         690       5.169622e-03       1.044105e-03       2.858756e-03       1.346887e-02       4.394464e-03       8.689450e-03
         700       2.617693e-03       1.166735e-03       2.162093e-03       1.461028e-02       4.422387e-03       7.926201e-03
         710       5.039935e-03       9.578796e-04       2.634799e-03       1.142324e-02       4.888175e-03       6.842504e-03
         720       6.968613e-03       8.257345e-04       4.031883e-03       1.477189e-02       6.714878e-03       1.126211e-02
         730       5.213171e-03       1.025174e-03       3.545659e-03       1.529621e-02       4.017236e-03       1.028639e-02
         740       1.237031e-02       3.036165e-03       6.063417e-03       2.763681e-02       3.771953e-03       1.550146e-02
         750       7.740602e-03       1.528720e-03       4.975811e-03       2.362923e-02       5.416609e-03       1.391027e-02
         760       1.022925e-02       2.346872e-03       6.138765e-03       2.289422e-02       7.207045e-03       1.408762e-02
         770       6.044452e-03       1.751981e-03       3.664505e-03       1.160994e-02       5.092307e-03       8.513970e-03
         780       3.934446e-03       1.532242e-03       2.724407e-03       1.162327e-02       4.697680e-03       8.166880e-03
         790       4.492675e-03       1.935284e-03       3.186989e-03       1.455167e-02       3.627184e-03       9.538669e-03
         800       6.873869e-03       2.114229e-03       3.608455e-03       2.188452e-02       3.538075e-03       1.245122e-02
         810       1.340880e-02       2.813729e-03       6.515850e-03       2.368275e-02       4.504326e-03       1.429779e-02
