#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.664389e-02       1.598379e-04       7.536832e-03       1.747686e-02       1.156717e-02       1.448600e-02
          10       2.012398e-02       1.583208e-03       8.916161e-03       2.190783e-02       1.726074e-02       1.971886e-02
          20       2.034039e-02       2.921069e-03       9.919793e-03       3.590709e-02       1.631274e-02       2.337088e-02
          30       1.161709e-02       1.403781e-03       5.267510e-03       2.217040e-02       4.056801e-03       1.357256e-02
          40       5.920880e-03       2.827831e-03       4.431704e-03       1.913592e-02       5.775224e-03       1.096062e-02
          50       1.088401e-02       2.381793e-03       5.261496e-03       2.622123e-02       5.859521e-03       1.373653e-02
          60       8.869050e-03       9.907920e-04       4.510980e-03       1.494171e-02       6.841285e-03       1.079540e-02
          70       9.239921e-03       1.834366e-03       4.945732e-03       1.304965e-02       6.810337e-03       1.061423e-02
          80       9.849182e-03       2.945078e-03       5.101264e-03       1.594332e-02       7.531463e-03       1.114652e-02
          90       1.151956e-02       2.469619e-03       5.616601e-03       1.994335e-02       5.206154e-03       1.221553e-02
         100       1.061885e-02       7.011889e-04       5.332943e-03       2.178111e-02       4.203851e-03       1.426367e-02
         110       1.222852e-02       2.630277e-03       5.626422e-03       1.875174e-02       7.951745e-03       1.258356e-02
         120       9.729039e-03       3.644523e-03       5.220711e-03       1.787526e-02       8.296438e-03       1.184776e-02
         130       1.345791e-02       2.593061e-03       5.466285e-03       2.185162e-02       3.988223e-03       1.551524e-02
         140       1.535486e-02       2.811626e-03       7.025661e-03       4.067756e-02       9.271927e-03       2.286675e-02
         150       1.147963e-02       9.789783e-04       5.656408e-03       2.764152e-02       8.095801e-03       1.711321e-02
         160       1.294884e-02       1.572113e-03       5.695859e-03       3.266980e-02       7.192354e-03       1.869187e-02
         170       1.000699e-02       2.625640e-03       6.175379e-03       3.692566e-02       1.089133e-02       2.252657e-02
         180       1.131241e-02       2.704029e-03       7.666955e-03       3.790780e-02       1.094369e-02       2.262940e-02
         190       1.154427e-02       3.454742e-03       7.642199e-03       3.203976e-02       7.919085e-03       1.871869e-02
         200       1.178832e-02       4.818861e-03       7.236629e-03       3.335825e-02       6.724736e-03       1.761097e-02
         210       1.239955e-02       2.235631e-03       5.673179e-03       2.083181e-02       8.610112e-03       1.460326e-02
         220       1.732410e-02       2.482762e-03       7.606101e-03       1.956001e-02       1.101739e-02       1.590611e-02
         230       1.586821e-02       7.347244e-04       6.478951e-03       2.439042e-02       8.325853e-03       1.522979e-02
         240       9.237760e-03       2.658763e-03       4.768656e-03       2.383647e-02       8.121741e-03       1.310580e-02
         250       6.378679e-03       1.703620e-03       3.399859e-03       2.668182e-02       3.303897e-03       1.067356e-02
         260       5.880989e-03       1.753653e-03       3.784312e-03       1.669585e-02       3.560527e-03       9.945089e-03
         270       7.349027e-03       1.436244e-03       4.423157e-03       2.218842e-02       5.750400e-03       1.430361e-02
         280       4.370259e-03       2.436259e-03       3.329850e-03       1.777331e-02       9.560944e-03       1.350140e-02
         290       9.489768e-03       1.926596e-03       5.400904e-03       2.655136e-02       1.010338e-02       1.673991e-02
         300       7.441974e-03       2.588430e-03       5.183422e-03       2.338769e-02       6.193796e-03       1.536989e-02
         310       1.219546e-02       8.641493e-04       5.944878e-03       2.360840e-02       4.680199e-03       1.613567e-02
         320       9.276587e-03       6.854530e-04       4.641705e-03       2.663946e-02       9.108585e-03       1.466023e-02
         330       1.955077e-02       2.468325e-03       7.867890e-03       2.200550e-02       1.210979e-02       1.666548e-02
         340       7.809642e-03       2.302853e-03       4.603844e-03       2.077603e-02       9.191210e-03       1.546072e-02
         350       9.673065e-03       1.893693e-03       4.326638e-03       1.608407e-02       6.618163e-03       1.098176e-02
         360       9.958053e-03       2.109056e-03       4.277646e-03       1.892512e-02       7.088624e-03       1.195499e-02
         370       9.756065e-03       1.346131e-03       4.130407e-03       2.266927e-02       8.398155e-03       1.380776e-02
         380       1.382256e-02       3.420675e-03       6.539823e-03       1.730891e-02       7.369669e-03       1.233547e-02
         390       1.103736e-02       1.839795e-03       4.996344e-03       2.068921e-02       6.816708e-03       1.299628e-02
         400       7.834599e-03       1.843725e-03       4.285414e-03       1.446546e-02       4.592127e-03       9.236806e-03
         410       1.034093e-02       3.137914e-03       5.443972e-03       1.529250e-02       6.081846e-03       1.061894e-02
         420       6.460992e-03       2.945161e-03       4.599654e-03       2.069636e-02       5.843605e-03       1.101328e-02
         430       6.758654e-03       1.560082e-03       3.665654e-03       2.729068e-02       6.602868e-03       1.268412e-02
         440       5.587309e-03       1.648081e-03       3.931632e-03       2.298350e-02       6.728045e-03       1.498624e-02
         450       8.858632e-03       4.292512e-03       6.183822e-03       2.594274e-02       7.106955e-03       1.421691e-02
         460       7.108304e-03       3.396843e-03       4.900159e-03       1.737983e-02       7.108129e-03       1.155892e-02
         470       7.086299e-03       3.003337e-03       5.256108e-03       1.727722e-02       8.319585e-03       1.320235e-02
         480       7.820452e-03       1.558388e-03       4.467853e-03       1.971057e-02       7.743291e-03       1.374092e-02
         490       2.084942e-02       2.559440e-03       8.283460e-03       2.571255e-02       7.343211e-03       1.664698e-02
         500       2.081459e-02       2.755244e-03       9.132070e-03       2.820773e-02       1.155832e-02       1.916882e-02
         510       1.255839e-02       6.465863e-04       7.146052e-03       2.796195e-02       8.267384e-03       1.610896e-02
         520       1.091323e-02       9.797420e-04       4.992354e-03       2.174425e-02       5.734881e-03       1.220338e-02
         530       5.174658e-03       1.181855e-03       2.605879e-03       2.346248e-02       6.458109e-03       1.198505e-02
         540       5.187576e-03       7.510745e-04       2.236510e-03       2.129212e-02       4.719926e-03       1.060360e-02
         550       9.047901e-03       3.153250e-03       4.429164e-03       1.663942e-02       3.116516e-03       9.802060e-03
         560       3.672960e-03       2.325123e-03       3.109785e-03       1.197386e-02       6.530894e-03       9.120259e-03
         570       3.220902e-03       1.222841e-03       1.839657e-03       1.255834e-02       5.049133e-03       8.717822e-03
         580       6.946408e-03       2.300153e-03       4.628562e-03       1.759979e-02       4.808254e-03       1.160630e-02
         590       6.966403e-03       1.031246e-03       3.036394e-03       1.430849e-02       6.308723e-03       9.734150e-03
         600       5.926159e-03       1.190989e-03       3.620433e-03       3.064049e-02       7.607455e-03       1.489484e-02
         610       6.676941e-03       4.602284e-04       3.890033e-03       1.949274e-02       7.950356e-03       1.324641e-02
         620       6.228520e-03       1.842055e-03       3.727906e-03       1.846547e-02       6.543563e-03       1.183127e-02
         630       4.432427e-03       1.233371e-03       2.592578e-03       1.907673e-02       4.296144e-03       1.179058e-02
         640       7.169808e-03       9.548223e-04       3.722137e-03       1.195439e-02       6.536409e-03       9.369864e-03
         650       1.853555e-03       8.313531e-04       1.384889e-03       1.182840e-02       3.480062e-03       6.591062e-03
         660       5.489551e-03       1.634103e-03       3.887012e-03       1.605824e-02       7.667222e-03       1.161716e-02
         670       1.168558e-02       2.524679e-03       6.714505e-03       1.653952e-02       3.668021e-03       1.054174e-02
         680       1.307976e-02       1.852291e-03       7.966842e-03       2.344918e-02       4.273589e-03       1.328437e-02
         690       1.199937e-02       5.074295e-03       6.638845e-03       1.935472e-02       6.342345e-03       1.286657e-02
         700       1.683876e-02       4.948671e-03       8.781756e-03       2.683943e-02       8.786678e-03       1.587492e-02
         710       1.762818e-02       2.599752e-03       9.802194e-03       2.005343e-02       1.303345e-02       1.631027e-02
         720       1.390648e-02       2.482087e-03       8.410934e-03       2.221177e-02       1.587436e-02       1.880955e-02
         730       1.044052e-02       2.051000e-03       7.137249e-03       3.114736e-02       9.905157e-03       1.908196e-02
         740       1.294683e-02       2.563398e-03       7.539112e-03       2.445033e-02       1.096361e-02       1.600485e-02
         750       9.559292e-03       2.755155e-03       6.102167e-03       2.813716e-02       9.599308e-03       1.754696e-02
         760       8.390717e-03       7.619199e-04       5.235907e-03       2.311788e-02       7.752839e-03       1.383138e-02
         770       6.651579e-03       2.364308e-03       3.560189e-03       2.138805e-02       4.696542e-03       1.390265e-02
         780       4.856370e-03       1.959234e-03       3.102642e-03       2.253278e-02       4.486747e-03       1.267122e-02
         790       8.964815e-03       2.613332e-03       5.956812e-03       2.112909e-02       6.091593e-03       1.194171e-02
         800       1.188668e-02       1.873675e-03       6.639584e-03       1.910962e-02       5.626450e-03       1.068205e-02
         810       1.266285e-02       1.764167e-03       8.099041e-03       3.666900e-02       7.885230e-03       1.847443e-02
         820       1.673386e-02       3.079575e-03       9.622493e-03       1.961531e-02       1.058730e-02       1.533981e-02
         830       1.600588e-02       2.706907e-03       8.558011e-03       2.215803e-02       7.609003e-03       1.460215e-02
         840       1.567817e-02       3.872968e-03       9.108999e-03       2.235794e-02       3.696174e-03       1.393557e-02
         850       7.892796e-03       2.063042e-03       6.401053e-03       2.345379e-02       3.095863e-03       1.447645e-02
         860       5.295815e-03       2.523206e-03       3.649045e-03       1.462072e-02       5.037179e-03       1.121264e-02
         870       7.268450e-03       1.305287e-03       4.502099e-03       1.807059e-02       7.316835e-03       1.279337e-02
         880       8.385257e-03       1.933507e-03       4.113475e-03       2.096552e-02       8.831869e-03       1.306567e-02
         890       6.198401e-03       1.457859e-03       3.514344e-03       1.724888e-02       5.077593e-03       1.043069e-02
         900       9.425242e-03       2.258934e-03       6.627281e-03       1.746300e-02       6.544014e-03       1.183719e-02
         910       7.631636e-03       1.950924e-03       4.348783e-03       9.130364e-03       5.073033e-03       7.720630e-03
         920       8.845089e-03       1.820780e-03       4.433548e-03       1.225402e-02       6.540735e-03       1.002447e-02
         930       8.301170e-03       2.167673e-03       4.952890e-03       1.751266e-02       8.077254e-03       1.055392e-02
         940       7.446385e-03       1.603165e-03       3.914363e-03       1.615761e-02       3.720224e-03       9.008367e-03
         950       8.736764e-03       8.202227e-04       4.353992e-03       1.281364e-02       4.321351e-03       8.465052e-03
         960       4.834600e-03       2.093569e-03       3.172401e-03       1.687066e-02       3.449381e-03       8.878281e-03
         970       7.653784e-03       1.106747e-03       3.539635e-03       1.651976e-02       4.358300e-03       9.351055e-03
         980       9.405371e-03       5.233711e-04       4.538130e-03       1.642906e-02       4.926060e-03       9.744827e-03
         990       6.141737e-03       1.733511e-03       3.040207e-03       1.224713e-02       5.676596e-03       8.789596e-03
        1000       3.691086e-03       1.249416e-03       2.231028e-03       1.765391e-02       5.184766e-03       9.655910e-03
        1010       4.248686e-03       9.604124e-04       2.174995e-03       1.892436e-02       7.467230e-03       1.230013e-02
        1020       4.546714e-03       1.324688e-03       2.384192e-03       1.436303e-02       8.028525e-03       1.110940e-02
        1030       4.607173e-03       1.294871e-03       2.550354e-03       1.699630e-02       5.899461e-03       1.089274e-02
        1040       4.198902e-03       1.005832e-03       2.554007e-03       9.030638e-03       3.518534e-03       6.913613e-03
        1050       5.045603e-03       1.732915e-03       2.912786e-03       1.200886e-02       6.368842e-03       8.944770e-03
        1060       8.155202e-03       1.403330e-03       5.240321e-03       1.519138e-02       8.802240e-03       1.219599e-02
        1070       1.204606e-02       1.770735e-03       7.210525e-03       2.265581e-02       1.151831e-02       1.888921e-02
        1080       1.338789e-02       2.091601e-03       7.475748e-03       2.169812e-02       1.109708e-02       1.711321e-02
        1090       6.678852e-03       1.479522e-03       4.836526e-03       2.180789e-02       7.524051e-03       1.477067e-02
        1100       8.932365e-03       1.457911e-03       5.256080e-03       1.138826e-02       8.921886e-03       1.039094e-02
        1110       1.040994e-02       1.995017e-03       5.566803e-03       3.329046e-02       8.034604e-03       2.024877e-02
        1120       1.134775e-02       2.266071e-03       5.821032e-03       2.657168e-02       6.113550e-03       1.774838e-02
        1130       9.386040e-03       3.943366e-03       5.931660e-03       2.952164e-02       6.687119e-03       1.807571e-02
        1140       1.177251e-02       2.211943e-03       7.148338e-03       2.686150e-02       4.089367e-03       1.644237e-02
        1150       1.419340e-02       2.003698e-03       6.943885e-03       1.935733e-02       8.891806e-03       1.287853e-02
        1160       1.233237e-02       1.872964e-03       5.474718e-03       2.188415e-02       6.801753e-03       1.283852e-02
        1170       1.417700e-02       1.943433e-03       6.268377e-03       2.371167e-02       6.567731e-03       1.550272e-02
