#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       4.784258e-02       3.935666e-05       2.157333e-02       9.103003e-02       2.803496e-02       5.478289e-02
          10       1.830345e-02       5.846379e-03       1.084794e-02       6.564650e-02       1.801970e-02       3.734875e-02
          20       7.639707e-03       2.268489e-03       5.054003e-03       2.121622e-02       8.062520e-03       1.511167e-02
          30       5.824563e-03       1.953236e-03       4.429926e-03       2.244216e-02       7.885329e-03       1.433588e-02
          40       6.039820e-03       1.095431e-03       3.493707e-03       1.618171e-02       6.507001e-03       1.065219e-02
          50       4.626330e-03       2.818110e-03       3.517353e-03       1.982854e-02       6.050762e-03       9.995221e-03
          60       9.361340e-03       7.245956e-04       4.970099e-03       1.614592e-02       8.706601e-03       1.097395e-02
          70       1.002995e-02       7.423117e-04       5.248592e-03       1.715374e-02       8.654295e-03       1.149348e-02
          80       1.012505e-02       1.843019e-03       5.022293e-03       2.143954e-02       5.988154e-03       1.023692e-02
          90       1.144118e-02       1.080003e-03       4.830328e-03       1.557649e-02       5.580018e-03       9.310141e-03
         100       6.580078e-03       2.081504e-03       4.184034e-03       2.331799e-02       6.557923e-03       1.267825e-02
         110       7.907745e-03       1.439074e-03       4.165609e-03       2.275298e-02       1.093115e-02       1.543079e-02
         120       1.720630e-02       2.380000e-03       8.044561e-03       3.988047e-02       1.193198e-02       2.457194e-02
         130       1.468709e-02       2.096867e-03       8.652298e-03       3.852104e-02       1.353948e-02       2.391019e-02
         140       1.304873e-02       3.820216e-03       7.684113e-03       4.104507e-02       1.564801e-02       2.235759e-02
         150       1.426887e-02       1.886575e-03       7.852965e-03       3.452026e-02       1.544792e-02       2.396213e-02
         160       1.368891e-02       1.612170e-03       7.469908e-03       3.127844e-02       1.567411e-02       2.430377e-02
         170       1.057159e-02       1.919227e-03       6.669622e-03       2.772589e-02       1.042335e-02       1.855281e-02
         180       1.067994e-02       1.406248e-03       6.032594e-03       2.187055e-02       6.446525e-03       1.485367e-02
         190       1.295512e-02       1.270363e-03       5.852157e-03       1.564256e-02       7.752074e-03       1.311940e-02
         200       8.890172e-03       1.179429e-03       3.929241e-03       1.360831e-02       7.738820e-03       9.744617e-03
