#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.717076e-02       2.564671e-03       7.540389e-03       2.797879e-02       1.552390e-02       2.084607e-02
          10       1.782862e-02       8.025954e-03       1.088125e-02       5.059658e-02       1.054775e-02       3.259792e-02
          20       3.446293e-02       5.663011e-03       2.028835e-02       9.956260e-02       2.785478e-02       6.484364e-02
          30       4.448298e-02       7.539301e-03       2.087837e-02       9.169328e-02       5.195288e-02       7.775737e-02
          40       7.282278e-02       7.438860e-03       3.753252e-02       1.191160e-01       3.442712e-02       8.253167e-02
          50       6.654781e-02       1.933679e-02       4.098946e-02       1.312108e-01       5.430531e-02       8.558359e-02
          60       2.881880e-02       6.312615e-03       1.641296e-02       8.496776e-02       3.699278e-02       5.687948e-02
          70       4.731782e-02       5.734487e-03       2.003075e-02       1.017861e-01       4.002538e-02       5.932602e-02
          80       6.037174e-02       7.171821e-03       2.974195e-02       7.671452e-02       4.277742e-02       6.270917e-02
          90       3.778429e-02       5.081991e-03       2.064945e-02       6.386928e-02       3.631142e-02       4.967241e-02
         100       3.163726e-02       8.175620e-03       1.728286e-02       6.295048e-02       3.043389e-02       5.128643e-02
         110       3.788442e-02       3.385775e-03       1.855249e-02       1.290224e-01       3.758268e-02       7.574209e-02
         120       3.025567e-02       5.056980e-03       1.651890e-02       6.214207e-02       1.758946e-02       4.551814e-02
         130       5.323020e-02       1.089269e-02       2.312058e-02       7.998774e-02       4.147675e-02       5.987364e-02
         140       6.931400e-02       5.780693e-03       3.087003e-02       8.992118e-02       5.111623e-02       6.845330e-02
         150       5.738613e-02       6.208180e-03       3.166812e-02       9.773320e-02       5.263150e-02       6.878122e-02
         160       5.554790e-02       7.650336e-03       2.788434e-02       1.077149e-01       4.553187e-02       6.817099e-02
         170       5.227426e-02       1.811653e-02       3.110020e-02       1.146558e-01       4.497987e-02       7.590611e-02
         180       8.189607e-02       7.368147e-03       3.541997e-02       1.193109e-01       4.262588e-02       8.070362e-02
         190       4.136827e-02       2.702130e-03       2.202388e-02       8.956096e-02       3.363999e-02       5.952277e-02
         200       2.965911e-02       1.236334e-02       2.034533e-02       1.053120e-01       4.045284e-02       6.310632e-02
         210       4.777132e-02       1.304376e-02       2.578792e-02       8.535087e-02       4.164906e-02       6.921553e-02
         220       2.887848e-02       4.031481e-03       1.813490e-02       9.837578e-02       4.544256e-02       6.544854e-02
         230       2.729208e-02       5.772616e-03       1.741633e-02       1.100121e-01       4.795652e-02       7.142287e-02
         240       5.675408e-02       1.117093e-02       3.094549e-02       7.867653e-02       5.662272e-02       6.743645e-02
         250       3.750061e-02       1.207465e-02       2.411092e-02       6.681748e-02       3.541048e-02       5.494231e-02
         260       4.607169e-02       6.399786e-03       2.396767e-02       8.431967e-02       3.633385e-02       6.121935e-02
         270       4.366428e-02       1.420433e-02       2.397471e-02       1.097519e-01       4.307130e-02       7.100346e-02
         280       4.148230e-02       1.224761e-02       2.323241e-02       1.055880e-01       4.897376e-02       7.346486e-02
         290       5.375367e-02       5.606189e-03       2.564566e-02       1.146984e-01       4.670414e-02       8.396628e-02
         300       7.358238e-02       9.645546e-03       3.652143e-02       1.386260e-01       7.974206e-02       1.084504e-01
         310       4.140342e-02       9.195292e-03       3.106574e-02       1.313490e-01       7.353783e-02       9.793266e-02
         320       3.290329e-02       7.723596e-03       2.239666e-02       1.018101e-01       4.737245e-02       7.843000e-02
         330       3.238439e-02       6.642790e-03       2.152759e-02       9.193193e-02       4.506673e-02       6.877243e-02
         340       4.077684e-02       1.762878e-02       2.674593e-02       1.025705e-01       5.862063e-02       7.366728e-02
         350       4.491906e-02       9.506716e-03       2.850544e-02       1.349834e-01       5.493726e-02       7.928987e-02
         360       4.411356e-02       1.245092e-02       3.165390e-02       1.157369e-01       6.077392e-02       8.186285e-02
