#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.678048e-02       7.921828e-05       8.451088e-03       2.513429e-02       1.041512e-02       1.957969e-02
          10       1.815042e-02       3.920532e-03       8.580885e-03       3.101613e-02       1.155637e-02       2.285036e-02
          20       8.998979e-03       2.694069e-03       5.723520e-03       2.440848e-02       8.217105e-03       1.618680e-02
          30       6.145538e-03       2.242871e-03       4.131602e-03       1.932247e-02       5.124649e-03       1.318986e-02
          40       4.648580e-03       1.750818e-03       3.746098e-03       2.353905e-02       3.704984e-03       1.325364e-02
          50       6.644244e-03       1.145417e-03       3.704790e-03       1.348186e-02       6.204404e-03       9.501415e-03
          60       8.662429e-03       1.162645e-03       4.538758e-03       1.135245e-02       6.328208e-03       8.456419e-03
          70       6.708380e-03       1.313326e-03       4.427456e-03       1.796611e-02       8.504615e-03       1.156751e-02
          80       5.707463e-03       3.459647e-03       4.436755e-03       2.385640e-02       1.225600e-02       1.676233e-02
          90       7.842852e-03       7.248757e-04       5.547784e-03       2.166243e-02       9.394871e-03       1.609704e-02
         100       9.952768e-03       3.563186e-03       6.937485e-03       2.912761e-02       6.988583e-03       1.929987e-02
         110       1.053811e-02       4.179707e-03       6.139629e-03       2.079818e-02       6.171102e-03       1.358178e-02
         120       9.923543e-03       2.091392e-03       6.575722e-03       2.688539e-02       1.024151e-02       1.809408e-02
         130       8.537371e-03       1.990441e-03       5.262736e-03       2.655812e-02       1.128591e-02       1.840355e-02
         140       1.151098e-02       1.311653e-03       7.469288e-03       2.734100e-02       1.360532e-02       2.085084e-02
         150       7.563184e-03       1.577944e-03       4.950182e-03       2.971717e-02       1.329426e-02       2.130473e-02
         160       1.185410e-02       4.792244e-03       8.049995e-03       2.509265e-02       9.546348e-03       1.956646e-02
         170       1.386462e-02       3.214363e-03       7.149242e-03       2.450367e-02       1.085140e-02       1.819404e-02
         180       7.392941e-03       1.254102e-03       4.779329e-03       1.815260e-02       4.919793e-03       1.392854e-02
         190       7.814303e-03       9.639970e-04       4.489592e-03       2.209332e-02       7.473636e-03       1.377824e-02
         200       5.888596e-03       1.932866e-03       3.185120e-03       2.716588e-02       1.116519e-02       1.536539e-02
         210       8.889305e-03       3.575862e-03       6.291520e-03       2.532750e-02       1.044820e-02       1.592557e-02
         220       4.163438e-03       2.353699e-03       3.343970e-03       2.782846e-02       1.256840e-02       1.649790e-02
         230       7.813259e-03       1.387554e-03       4.946725e-03       3.373061e-02       1.262406e-02       1.919063e-02
         240       1.172811e-02       2.296438e-03       6.681278e-03       2.743129e-02       7.044717e-03       1.983043e-02
         250       1.263292e-02       2.087165e-03       6.130140e-03       2.469121e-02       1.120318e-02       1.875335e-02
         260       9.028041e-03       1.766898e-03       4.675723e-03       2.663295e-02       1.608372e-02       2.041119e-02
         270       8.809334e-03       3.171724e-03       5.451982e-03       1.914609e-02       1.274445e-02       1.618150e-02
         280       1.147580e-02       4.337248e-03       8.276095e-03       2.804045e-02       1.943572e-02       2.262063e-02
         290       1.683966e-02       3.340290e-03       8.527437e-03       2.937564e-02       1.233225e-02       2.060256e-02
         300       5.523571e-03       1.345875e-03       3.541257e-03       1.967929e-02       1.054908e-02       1.364704e-02
         310       8.202631e-03       1.590541e-03       5.415015e-03       2.180025e-02       1.122149e-02       1.748750e-02
         320       1.272674e-02       3.462685e-03       6.118806e-03       2.624101e-02       8.499306e-03       1.668569e-02
         330       6.613749e-03       1.967645e-03       4.000558e-03       2.389894e-02       8.793490e-03       1.651215e-02
         340       7.461730e-03       3.093179e-03       4.992341e-03       2.329759e-02       9.132247e-03       1.557712e-02
         350       1.138396e-02       2.588472e-03       5.257109e-03       2.526365e-02       8.399844e-03       1.751563e-02
         360       9.799553e-03       3.881638e-03       6.230491e-03       2.679962e-02       9.981294e-03       1.822721e-02
         370       9.023179e-03       1.998305e-03       5.002164e-03       2.541363e-02       1.111400e-02       1.691781e-02
         380       1.568756e-02       2.202629e-03       6.626425e-03       2.696935e-02       1.259096e-02       2.080476e-02
         390       1.187468e-02       5.619698e-03       7.695122e-03       2.431353e-02       1.522795e-02       2.008940e-02
         400       7.391902e-03       3.304120e-03       5.397951e-03       2.471725e-02       1.618226e-02       2.026164e-02
         410       8.429842e-03       3.080156e-03       5.682805e-03       2.285834e-02       1.533020e-02       2.000692e-02
         420       8.769283e-03       4.706530e-03       6.966584e-03       2.706097e-02       1.567662e-02       2.078945e-02
         430       1.402522e-02       1.921890e-03       7.154207e-03       2.058344e-02       1.429762e-02       1.665419e-02
         440       1.744933e-02       2.516017e-03       7.680558e-03       3.406612e-02       1.400505e-02       2.177337e-02
         450       7.170664e-03       3.957537e-03       5.292474e-03       2.419850e-02       9.299012e-03       1.704344e-02
         460       7.017101e-03       1.364001e-03       4.441720e-03       3.214296e-02       8.719042e-03       1.891860e-02
         470       1.060470e-02       2.612465e-03       5.004440e-03       2.589834e-02       8.491182e-03       1.575254e-02
         480       9.058384e-03       4.642885e-03       6.175688e-03       2.710294e-02       5.942345e-03       1.545896e-02
         490       1.252015e-02       3.586252e-03       6.792051e-03       2.695186e-02       1.230253e-02       1.861246e-02
         500       8.581082e-03       2.950406e-03       5.496590e-03       2.172585e-02       1.037120e-02       1.657976e-02
         510       1.969715e-02       2.637148e-03       9.162012e-03       4.467334e-02       1.117157e-02       2.305426e-02
         520       1.138715e-02       4.339970e-03       7.306768e-03       2.543912e-02       1.057237e-02       1.994746e-02
         530       8.685437e-03       2.977865e-03       6.011784e-03       2.940644e-02       1.343549e-02       2.065998e-02
         540       8.793733e-03       1.315816e-03       4.610412e-03       1.950913e-02       9.531495e-03       1.612890e-02
         550       7.794371e-03       3.034715e-03       5.184890e-03       2.731470e-02       1.089899e-02       1.874726e-02
         560       9.327525e-03       7.776987e-04       5.327269e-03       3.340223e-02       1.221736e-02       2.226602e-02
         570       7.815685e-03       3.420891e-03       5.656141e-03       2.470731e-02       1.366929e-02       1.811031e-02
         580       9.241666e-03       3.311865e-03       5.693671e-03       2.188324e-02       1.037499e-02       1.684344e-02
         590       7.815618e-03       2.549644e-03       4.826731e-03       2.458297e-02       9.898823e-03       1.639580e-02
         600       1.033414e-02       2.857177e-03       5.701189e-03       2.528747e-02       1.297311e-02       1.812832e-02
         610       1.007138e-02       1.326090e-03       5.647981e-03       2.368245e-02       1.190959e-02       1.692228e-02
         620       9.641530e-03       1.399179e-03       4.839864e-03       2.396205e-02       9.622655e-03       1.598958e-02
         630       1.089445e-02       2.150290e-03       5.615968e-03       2.330756e-02       8.084270e-03       1.701666e-02
