#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.783921e-02       9.167709e-04       6.690927e-03       1.730907e-02       1.118866e-02       1.381254e-02
          10       1.224132e-02       1.679125e-03       6.788920e-03       3.727202e-02       9.199575e-03       2.225688e-02
          20       1.060219e-02       2.551933e-03       5.382416e-03       2.386423e-02       1.130755e-02       1.832902e-02
          30       1.382648e-02       1.483534e-03       6.283301e-03       2.868423e-02       1.364807e-02       2.105307e-02
          40       1.174105e-02       3.901723e-03       7.480624e-03       3.173698e-02       1.105624e-02       1.990789e-02
          50       1.353989e-02       9.068430e-04       7.231850e-03       2.128453e-02       7.657283e-03       1.569811e-02
          60       5.511012e-03       8.410956e-04       3.673682e-03       1.615687e-02       5.377647e-03       1.147340e-02
          70       5.823477e-03       9.241147e-04       3.678023e-03       1.822451e-02       6.144869e-03       1.259720e-02
          80       8.964875e-03       1.081503e-03       3.664538e-03       1.585960e-02       6.122882e-03       1.057024e-02
          90       1.088669e-02       1.564601e-03       5.493898e-03       1.789327e-02       6.750020e-03       1.205106e-02
         100       1.077259e-02       1.049090e-03       5.747571e-03       4.150156e-02       1.135576e-02       2.077387e-02
         110       1.248519e-02       1.648150e-03       5.663379e-03       2.684265e-02       7.865657e-03       1.667967e-02
         120       1.004178e-02       1.329227e-03       5.274361e-03       2.352149e-02       1.007219e-02       1.455744e-02
         130       8.005781e-03       9.104899e-04       5.182535e-03       2.014701e-02       7.788217e-03       1.685126e-02
         140       1.159407e-02       3.885084e-03       7.247106e-03       3.616133e-02       8.744265e-03       2.073648e-02
         150       1.439345e-02       8.306239e-04       6.978415e-03       2.839533e-02       7.599063e-03       1.735785e-02
         160       1.402541e-02       3.821829e-03       7.464108e-03       3.127256e-02       1.137247e-02       1.858694e-02
         170       7.111054e-03       8.554830e-04       4.077376e-03       1.962493e-02       8.456440e-03       1.476624e-02
         180       1.003172e-02       9.438844e-04       5.956670e-03       2.469623e-02       6.882481e-03       1.604514e-02
         190       1.529766e-02       1.874639e-03       6.967407e-03       2.243837e-02       5.882085e-03       1.624730e-02
