#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       2.058179e-02       2.803772e-03       1.004797e-02       2.638267e-02       1.314019e-02       1.952251e-02
          10       2.126172e-02       2.326366e-03       1.058788e-02       2.978522e-02       1.590355e-02       2.038052e-02
          20       1.794432e-02       8.987405e-04       8.546041e-03       3.945789e-02       9.312731e-03       2.292028e-02
          30       1.900411e-02       4.275913e-03       8.594581e-03       3.586794e-02       1.072332e-02       1.962216e-02
          40       6.923574e-03       3.128872e-03       5.020813e-03       2.200403e-02       9.998480e-03       1.454400e-02
          50       8.246534e-03       3.339933e-03       6.044352e-03       3.678176e-02       5.790722e-03       1.634533e-02
          60       7.154906e-03       2.041315e-03       5.162083e-03       3.129527e-02       5.406164e-03       1.389461e-02
          70       1.561980e-02       3.419955e-03       9.390490e-03       3.689688e-02       5.481155e-03       2.248498e-02
          80       1.028078e-02       3.995209e-03       7.492910e-03       3.277254e-02       5.172874e-03       1.702936e-02
          90       1.048004e-02       2.091304e-03       5.839638e-03       3.796632e-02       5.620812e-03       1.852362e-02
         100       7.670862e-03       6.349344e-04       3.876432e-03       2.267917e-02       5.946595e-03       1.261649e-02
         110       7.144858e-03       1.637871e-03       4.458908e-03       2.452217e-02       4.938330e-03       1.227494e-02
         120       7.823323e-03       3.354620e-03       5.533811e-03       3.083146e-02       7.753967e-03       1.498470e-02
         130       6.260177e-03       2.620275e-03       4.429798e-03       2.374930e-02       8.980542e-03       1.339021e-02
         140       6.223942e-03       3.417240e-03       4.146730e-03       2.074619e-02       7.467672e-03       1.190343e-02
         150       6.152478e-03       2.463514e-03       4.078753e-03       2.329414e-02       7.171990e-03       1.302567e-02
         160       3.836356e-03       7.875690e-04       2.633723e-03       2.173466e-02       8.151687e-03       1.180980e-02
         170       5.557322e-03       2.263186e-03       3.534962e-03       2.088740e-02       8.211188e-03       1.272609e-02
         180       8.074803e-03       1.019308e-03       3.797708e-03       2.711259e-02       7.429135e-03       1.558133e-02
         190       6.377876e-03       7.085008e-04       2.989359e-03       2.049005e-02       5.965231e-03       1.244586e-02
         200       5.888324e-03       6.277221e-04       2.772714e-03       1.907657e-02       6.941809e-03       1.225062e-02
         210       1.080559e-02       1.125117e-03       4.276755e-03       2.537044e-02       4.684803e-03       1.235126e-02
