#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      3.08e+01      2.24e+00      9.74e-01    1.0e-03
    100      3.69e+00      1.11e+00      1.16e-01    1.0e-03
    200      3.13e+00      8.26e-01      9.84e-02    1.0e-03
    300      2.88e+00      4.90e-01      9.07e-02    1.0e-03
    400      2.92e+00      2.91e-01      9.22e-02    1.0e-03
    500      2.48e+00      5.21e-02      7.84e-02    1.0e-03
    600      2.60e+00      7.59e-02      8.24e-02    1.0e-03
    700      3.03e+00      4.53e-02      9.59e-02    1.0e-03
    800      2.75e+00      6.42e-02      8.69e-02    1.0e-03
    900      2.46e+00      7.74e-02      7.78e-02    1.0e-03
   1000      2.48e+00      3.03e-02      7.83e-02    1.0e-03
   1100      2.31e+00      7.76e-02      7.29e-02    1.0e-03
   1200      1.98e+00      3.20e-02      6.25e-02    1.0e-03
   1300      2.54e+00      4.57e-02      8.05e-02    1.0e-03
   1400      2.84e+00      5.15e-02      8.98e-02    1.0e-03
   1500      2.71e+00      1.06e-01      8.56e-02    1.0e-03
   1600      2.56e+00      3.45e-02      8.08e-02    1.0e-03
   1700      2.49e+00      7.36e-02      7.88e-02    1.0e-03
   1800      2.92e+00      1.04e-01      9.22e-02    1.0e-03
   1900      2.18e+00      5.28e-02      6.89e-02    1.0e-03
   2000      2.75e+00      6.96e-02      8.68e-02    1.0e-03
   2100      2.69e+00      9.06e-02      8.52e-02    1.0e-03
   2200      2.19e+00      4.26e-02      6.91e-02    1.0e-03
   2300      2.76e+00      5.77e-02      8.73e-02    1.0e-03
   2400      2.59e+00      2.80e-02      8.20e-02    1.0e-03
   2500      2.18e+00      3.50e-02      6.90e-02    1.0e-03
   2600      2.59e+00      5.37e-02      8.19e-02    1.0e-03
   2700      2.48e+00      5.70e-02      7.85e-02    1.0e-03
   2800      2.39e+00      3.97e-02      7.56e-02    1.0e-03
   2900      2.43e+00      8.28e-02      7.70e-02    1.0e-03
   3000      2.28e+00      4.97e-02      7.22e-02    1.0e-03
   3100      2.12e+00      3.44e-02      6.69e-02    1.0e-03
   3200      2.02e+00      3.16e-02      6.39e-02    1.0e-03
   3300      2.33e+00      5.26e-02      7.38e-02    1.0e-03
   3400      2.00e+00      5.57e-02      6.32e-02    1.0e-03
   3500      2.57e+00      4.08e-02      8.11e-02    1.0e-03
   3600      1.72e+00      4.26e-02      5.45e-02    1.0e-03
   3700      2.08e+00      3.92e-02      6.57e-02    1.0e-03
   3800      2.54e+00      5.01e-02      8.02e-02    1.0e-03
   3900      2.85e+00      5.12e-02      9.01e-02    1.0e-03
   4000      1.67e+00      5.84e-02      5.27e-02    1.0e-03
   4100      1.65e+00      6.19e-02      5.20e-02    1.0e-03
   4200      2.74e+00      7.76e-02      8.65e-02    1.0e-03
   4300      2.62e+00      4.31e-02      8.30e-02    1.0e-03
   4400      2.22e+00      1.58e-01      7.02e-02    1.0e-03
   4500      2.06e+00      3.53e-02      6.51e-02    1.0e-03
   4600      2.30e+00      6.73e-02      7.26e-02    1.0e-03
   4700      2.33e+00      5.34e-02      7.36e-02    1.0e-03
   4800      2.52e+00      1.07e-01      7.98e-02    1.0e-03
   4900      1.94e+00      1.96e-02      6.12e-02    1.0e-03
   5000      2.01e+00      3.62e-02      6.54e-02    9.4e-04
   5100      2.37e+00      1.90e-02      7.73e-02    9.4e-04
   5200      2.41e+00      2.46e-02      7.84e-02    9.4e-04
   5300      2.20e+00      5.85e-02      7.17e-02    9.4e-04
   5400      2.57e+00      5.54e-02      8.36e-02    9.4e-04
   5500      2.78e+00      7.53e-02      9.04e-02    9.4e-04
   5600      2.33e+00      5.95e-02      7.58e-02    9.4e-04
   5700      1.84e+00      5.89e-02      6.00e-02    9.4e-04
   5800      2.43e+00      4.43e-02      7.92e-02    9.4e-04
   5900      1.94e+00      8.25e-02      6.32e-02    9.4e-04
   6000      2.09e+00      7.99e-02      6.79e-02    9.4e-04
   6100      2.27e+00      3.08e-02      7.39e-02    9.4e-04
   6200      1.87e+00      3.95e-02      6.08e-02    9.4e-04
   6300      1.80e+00      5.96e-02      5.87e-02    9.4e-04
   6400      2.10e+00      4.74e-02      6.84e-02    9.4e-04
   6500      2.23e+00      2.98e-02      7.26e-02    9.4e-04
   6600      2.37e+00      7.63e-02      7.70e-02    9.4e-04
   6700      2.12e+00      4.54e-02      6.90e-02    9.4e-04
   6800      2.31e+00      4.66e-02      7.51e-02    9.4e-04
   6900      2.30e+00      4.89e-02      7.48e-02    9.4e-04
   7000      2.48e+00      3.60e-02      8.06e-02    9.4e-04
   7100      2.29e+00      4.05e-02      7.45e-02    9.4e-04
   7200      1.39e+00      3.41e-02      4.51e-02    9.4e-04
   7300      2.88e+00      9.99e-02      9.37e-02    9.4e-04
   7400      2.31e+00      2.42e-02      7.51e-02    9.4e-04
   7500      2.14e+00      1.09e-01      6.95e-02    9.4e-04
   7600      1.98e+00      1.02e-01      6.43e-02    9.4e-04
   7700      2.15e+00      3.97e-02      6.98e-02    9.4e-04
   7800      1.81e+00      7.36e-02      5.88e-02    9.4e-04
   7900      1.80e+00      4.32e-02      5.85e-02    9.4e-04
   8000      1.70e+00      7.06e-02      5.54e-02    9.4e-04
   8100      2.26e+00      9.52e-02      7.35e-02    9.4e-04
   8200      2.23e+00      8.46e-02      7.25e-02    9.4e-04
   8300      2.27e+00      6.08e-02      7.38e-02    9.4e-04
   8400      2.56e+00      1.26e-01      8.34e-02    9.4e-04
   8500      2.50e+00      1.10e-01      8.14e-02    9.4e-04
   8600      2.83e+00      1.07e-01      9.19e-02    9.4e-04
   8700      2.25e+00      3.38e-02      7.33e-02    9.4e-04
   8800      2.13e+00      6.06e-02      6.95e-02    9.4e-04
   8900      2.32e+00      7.24e-02      7.56e-02    9.4e-04
   9000      2.13e+00      4.02e-02      6.94e-02    9.4e-04
   9100      1.70e+00      4.40e-02      5.54e-02    9.4e-04
   9200      2.39e+00      3.13e-02      7.78e-02    9.4e-04
   9300      2.29e+00      7.48e-02      7.46e-02    9.4e-04
   9400      2.13e+00      3.04e-02      6.94e-02    9.4e-04
   9500      2.31e+00      5.79e-02      7.51e-02    9.4e-04
   9600      1.77e+00      4.96e-02      5.76e-02    9.4e-04
   9700      1.61e+00      1.22e-01      5.23e-02    9.4e-04
   9800      1.91e+00      3.39e-02      6.22e-02    9.4e-04
   9900      1.76e+00      1.66e-01      5.70e-02    9.4e-04
  10000      1.61e+00      7.95e-02      5.38e-02    8.9e-04
  10100      2.46e+00      1.26e-01      8.22e-02    8.9e-04
  10200      1.80e+00      1.05e-01      6.01e-02    8.9e-04
  10300      2.29e+00      1.88e-02      7.68e-02    8.9e-04
  10400      1.66e+00      7.55e-02      5.55e-02    8.9e-04
  10500      1.95e+00      6.05e-02      6.52e-02    8.9e-04
  10600      1.88e+00      5.17e-02      6.30e-02    8.9e-04
  10700      2.21e+00      4.56e-02      7.40e-02    8.9e-04
  10800      2.46e+00      4.98e-02      8.23e-02    8.9e-04
  10900      2.02e+00      4.05e-02      6.76e-02    8.9e-04
  11000      1.81e+00      9.67e-02      6.06e-02    8.9e-04
  11100      2.71e+00      1.11e-01      9.06e-02    8.9e-04
  11200      2.12e+00      5.68e-02      7.10e-02    8.9e-04
  11300      2.11e+00      4.13e-02      7.06e-02    8.9e-04
  11400      1.72e+00      3.54e-02      5.77e-02    8.9e-04
  11500      2.08e+00      4.84e-02      6.96e-02    8.9e-04
  11600      2.12e+00      1.62e-02      7.11e-02    8.9e-04
  11700      1.98e+00      7.03e-02      6.64e-02    8.9e-04
  11800      2.01e+00      1.59e-01      6.71e-02    8.9e-04
  11900      2.52e+00      1.23e-01      8.44e-02    8.9e-04
