#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       4.222787e-02       2.261993e-03       2.038511e-02       9.634330e-02       4.067607e-02       6.011582e-02
          10       5.345633e-02       7.620344e-03       2.136054e-02       1.193460e-01       4.121369e-02       6.624024e-02
          20       1.976717e-02       5.610271e-03       1.158258e-02       4.481859e-02       1.091961e-02       3.303204e-02
          30       1.008516e-02       2.863488e-03       4.720056e-03       2.252046e-02       9.975868e-03       1.582863e-02
          40       1.170818e-02       6.264455e-04       5.776099e-03       2.242111e-02       1.250086e-02       1.542056e-02
          50       1.652653e-02       5.247361e-04       8.403131e-03       2.117975e-02       1.065013e-02       1.622861e-02
          60       1.648078e-02       2.736498e-03       8.429234e-03       2.230569e-02       1.045297e-02       1.581067e-02
          70       1.544719e-02       2.826897e-03       8.021946e-03       2.092850e-02       1.039720e-02       1.530680e-02
          80       1.901521e-02       7.741549e-04       8.567614e-03       2.200538e-02       1.257905e-02       1.625980e-02
          90       1.534329e-02       2.873404e-03       8.724436e-03       2.848948e-02       1.107155e-02       1.810460e-02
         100       1.325984e-02       2.673178e-03       8.028295e-03       3.115873e-02       1.081896e-02       2.086216e-02
         110       1.301573e-02       2.814075e-03       8.803464e-03       4.044074e-02       1.445455e-02       2.329686e-02
         120       2.187950e-02       4.159694e-03       1.175960e-02       3.941384e-02       1.697207e-02       3.049362e-02
         130       1.660382e-02       3.812276e-03       8.494523e-03       4.455383e-02       2.130170e-02       2.988985e-02
         140       1.665841e-02       2.356581e-03       9.484888e-03       4.665928e-02       1.438180e-02       2.685699e-02
         150       1.862103e-02       4.938255e-03       9.932105e-03       4.300071e-02       2.761420e-02       3.538847e-02
         160       3.239145e-02       4.331723e-03       1.500549e-02       4.652418e-02       2.262413e-02       3.351583e-02
         170       1.921205e-02       4.726409e-03       9.373058e-03       4.457813e-02       1.890908e-02       2.916416e-02
         180       1.354126e-02       2.812494e-03       7.577218e-03       3.083377e-02       1.475178e-02       2.252676e-02
         190       2.462808e-02       7.539402e-04       1.155038e-02       4.841709e-02       1.514118e-02       2.607623e-02
         200       2.462832e-02       2.964388e-03       1.002096e-02       4.985788e-02       1.235976e-02       2.422445e-02
         210       2.637154e-02       2.212964e-03       1.035497e-02       5.046383e-02       1.350129e-02       2.386618e-02
         220       2.623824e-02       4.049677e-03       1.026770e-02       4.759589e-02       1.153667e-02       2.355736e-02
