#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.536295e-02       3.333118e-06       8.338176e-03       3.577710e-02       1.407435e-02       2.136265e-02
          10       7.736001e-03       2.738241e-03       5.409601e-03       3.296347e-02       1.083442e-02       2.117386e-02
          20       4.821282e-03       1.054073e-03       2.361057e-03       1.718531e-02       3.134284e-03       1.189066e-02
          30       9.957403e-03       1.952820e-03       5.148777e-03       1.691178e-02       7.593460e-03       1.247565e-02
          40       1.700543e-02       2.869246e-03       8.679654e-03       3.487847e-02       9.611376e-03       1.700389e-02
          50       1.519441e-02       3.918762e-04       7.799539e-03       2.103635e-02       1.033975e-02       1.476852e-02
          60       1.932876e-02       2.209385e-04       9.941210e-03       2.877476e-02       9.757134e-03       1.859829e-02
          70       1.915418e-02       1.819593e-03       1.048905e-02       3.012288e-02       8.909742e-03       1.949026e-02
          80       1.088529e-02       2.391200e-03       5.822817e-03       2.001034e-02       8.055067e-03       1.243733e-02
          90       9.419557e-03       1.886627e-03       5.151233e-03       1.769703e-02       4.437542e-03       1.246062e-02
         100       1.129621e-02       1.393761e-03       4.487601e-03       2.122105e-02       8.806167e-03       1.283462e-02
         110       6.168068e-03       3.071146e-03       4.868172e-03       2.004218e-02       6.451827e-03       1.429455e-02
         120       5.387228e-03       2.017814e-03       3.577915e-03       2.139229e-02       1.022497e-02       1.587303e-02
         130       1.075768e-02       5.697712e-04       6.228236e-03       2.611234e-02       7.030718e-03       2.013309e-02
         140       1.049875e-02       6.978465e-04       6.782333e-03       2.981461e-02       1.293778e-02       2.050227e-02
         150       6.276923e-03       2.370503e-03       5.166461e-03       2.413917e-02       1.262176e-02       1.837750e-02
         160       1.031724e-02       2.801595e-03       5.555836e-03       2.589065e-02       1.365135e-02       1.940034e-02
         170       5.627811e-03       2.749273e-03       3.996318e-03       1.922782e-02       1.050945e-02       1.457886e-02
         180       1.071420e-02       1.659258e-03       5.182640e-03       2.399436e-02       6.722576e-03       1.274968e-02
         190       5.631865e-03       1.357763e-03       2.889670e-03       9.856400e-03       5.317181e-03       6.539289e-03
         200       1.086078e-02       2.373819e-03       6.122999e-03       2.329654e-02       5.062413e-03       1.340779e-02
         210       7.452307e-03       1.736524e-03       4.151372e-03       1.521233e-02       2.509284e-03       9.295464e-03
         220       6.158821e-03       1.118309e-03       3.416219e-03       1.188914e-02       5.041657e-03       7.613533e-03
         230       1.274407e-02       2.230441e-03       6.694966e-03       2.397407e-02       7.637208e-03       1.369043e-02
         240       1.033970e-02       2.792018e-03       6.094553e-03       2.749550e-02       5.602677e-03       1.652183e-02
         250       8.657383e-03       2.938318e-03       6.754094e-03       2.632052e-02       1.017502e-02       1.650831e-02
         260       1.576135e-02       1.374228e-03       7.572786e-03       2.885019e-02       7.584982e-03       2.056008e-02
         270       1.178186e-02       2.998430e-03       8.409591e-03       3.338044e-02       1.311464e-02       2.197675e-02
         280       1.466566e-02       3.902755e-03       9.462398e-03       3.910213e-02       9.651261e-03       2.543259e-02
         290       1.751148e-02       2.204630e-03       8.302182e-03       4.205702e-02       8.367010e-03       2.357452e-02
         300       6.510877e-03       2.768737e-03       4.943683e-03       2.240094e-02       9.383984e-03       1.629803e-02
         310       9.625520e-03       1.492459e-03       5.322530e-03       2.197526e-02       8.819655e-03       1.488237e-02
         320       8.243390e-03       1.401692e-03       4.436163e-03       2.080433e-02       8.434808e-03       1.337299e-02
         330       8.273679e-03       1.112815e-04       4.681694e-03       1.710028e-02       6.143270e-03       1.196261e-02
         340       4.869775e-03       3.232833e-03       3.804891e-03       1.878308e-02       5.127771e-03       1.036626e-02
         350       5.056372e-03       1.492065e-03       3.201437e-03       1.331593e-02       5.239555e-03       9.534887e-03
         360       5.797229e-03       1.663829e-03       3.535765e-03       1.817762e-02       4.432538e-03       1.045196e-02
         370       9.360496e-03       1.840579e-03       5.049381e-03       2.330237e-02       5.141452e-03       1.471543e-02
         380       1.270494e-02       1.679470e-03       5.716249e-03       2.636759e-02       6.600317e-03       1.502263e-02
         390       1.167576e-02       1.647455e-03       6.151311e-03       2.573210e-02       7.832731e-03       1.530096e-02
         400       1.806949e-02       3.808219e-03       8.379064e-03       3.870897e-02       5.084151e-03       2.189136e-02
         410       1.411982e-02       2.913763e-03       7.530570e-03       3.311165e-02       1.539990e-02       2.241780e-02
         420       6.956473e-03       1.619005e-03       4.657086e-03       2.041354e-02       7.862591e-03       1.400825e-02
         430       1.107854e-02       2.152839e-03       6.260767e-03       1.898117e-02       9.114927e-03       1.554274e-02
         440       9.428504e-03       1.639125e-03       5.902021e-03       2.364610e-02       8.195012e-03       1.430896e-02
         450       6.660851e-03       8.714171e-04       3.932325e-03       2.105816e-02       4.982058e-03       9.674070e-03
         460       2.697776e-03       1.462436e-03       2.066187e-03       1.008526e-02       4.468020e-03       6.359017e-03
         470       9.251341e-03       1.423080e-03       5.884861e-03       1.782661e-02       5.563973e-03       1.253811e-02
         480       8.720025e-03       1.332322e-03       4.337818e-03       2.038454e-02       4.935684e-03       1.036043e-02
         490       7.480843e-03       2.462485e-03       3.803047e-03       1.577033e-02       4.284970e-03       8.928288e-03
         500       6.099467e-03       8.731822e-04       3.217443e-03       1.582563e-02       6.070753e-03       1.118352e-02
         510       9.611772e-03       1.776751e-03       5.520579e-03       2.851401e-02       5.047155e-03       1.561306e-02
         520       8.508952e-03       2.721140e-03       5.121827e-03       2.295884e-02       3.546954e-03       1.253660e-02
         530       8.916602e-03       9.120383e-04       4.518885e-03       2.037096e-02       9.791951e-03       1.507945e-02
         540       6.121291e-03       2.032535e-03       4.258872e-03       1.739606e-02       5.474714e-03       1.087413e-02
         550       5.393036e-03       1.043070e-03       3.230417e-03       1.475931e-02       6.226982e-03       1.118161e-02
         560       1.007068e-02       6.230085e-04       4.833434e-03       2.007074e-02       6.467399e-03       1.424165e-02
         570       5.934570e-03       1.878863e-03       4.301284e-03       1.879105e-02       5.079641e-03       1.195038e-02
         580       1.794979e-02       3.229013e-03       8.567891e-03       2.262394e-02       1.103201e-02       1.775827e-02
         590       1.261827e-02       3.731240e-03       7.360919e-03       2.793748e-02       4.941360e-03       1.655098e-02
