#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.684012e-02       1.760778e-04       6.467945e-03       3.329452e-02       7.933922e-03       1.950842e-02
          10       1.075968e-02       6.176114e-03       8.378344e-03       4.056690e-02       1.302621e-02       2.668495e-02
          20       9.745091e-02       1.105832e-02       4.387725e-02       1.360212e-01       5.227558e-02       9.076036e-02
          30       6.652977e-02       7.146497e-03       3.029464e-02       1.198209e-01       4.979413e-02       8.423194e-02
          40       8.995163e-02       8.489644e-03       4.910557e-02       1.537841e-01       7.843900e-02       1.045367e-01
          50       9.971549e-02       7.218294e-03       4.841684e-02       1.476416e-01       4.100306e-02       9.144791e-02
          60       5.076739e-02       4.638975e-03       2.695173e-02       1.137680e-01       3.017437e-02       6.449239e-02
          70       3.603109e-02       5.692648e-03       1.829777e-02       5.946401e-02       4.150738e-02       5.068641e-02
          80       5.179769e-02       1.416676e-02       2.316413e-02       6.666041e-02       4.431221e-02       5.535428e-02
          90       5.582026e-02       1.157025e-02       2.722626e-02       7.349318e-02       3.382951e-02       5.569950e-02
         100       5.576292e-02       8.984006e-03       3.212050e-02       9.584275e-02       3.290813e-02       6.435001e-02
         110       9.218349e-02       7.146187e-03       5.287985e-02       1.349319e-01       5.540732e-02       9.784911e-02
         120       7.839382e-02       5.938260e-03       4.459496e-02       1.146827e-01       5.783925e-02       8.745874e-02
         130       6.653186e-02       1.290078e-02       3.275961e-02       9.247862e-02       6.391590e-02       7.737082e-02
         140       5.276235e-02       5.662206e-03       3.010685e-02       1.067950e-01       4.940319e-02       7.163322e-02
         150       4.877213e-02       1.123399e-02       2.809357e-02       9.971672e-02       3.715393e-02       6.844077e-02
         160       3.474023e-02       5.353383e-03       2.307840e-02       1.131029e-01       2.400882e-02       6.638700e-02
         170       4.013419e-02       4.484066e-03       2.630645e-02       1.134498e-01       3.433773e-02       7.168597e-02
         180       3.992340e-02       1.138835e-02       2.843476e-02       1.295911e-01       4.526196e-02       8.032365e-02
         190       4.705275e-02       1.078778e-02       2.810871e-02       1.227535e-01       5.450009e-02       7.935612e-02
         200       3.899241e-02       5.416227e-03       2.213824e-02       1.114662e-01       5.893224e-02       8.049432e-02
         210       5.749473e-02       3.107370e-03       2.883210e-02       1.142067e-01       6.074885e-02       8.604101e-02
         220       3.200065e-02       7.995556e-03       1.974232e-02       7.905767e-02       3.799225e-02       5.541528e-02
         230       3.401455e-02       5.272434e-03       2.039398e-02       7.709259e-02       3.486296e-02       5.608772e-02
         240       2.761206e-02       1.281762e-02       1.796165e-02       7.577512e-02       3.038486e-02       5.579142e-02
         250       4.600662e-02       9.003358e-03       2.261742e-02       8.505353e-02       4.357144e-02       6.333318e-02
         260       5.413291e-02       1.241533e-02       2.870940e-02       8.930477e-02       5.923947e-02       6.846475e-02
         270       5.250221e-02       1.287872e-02       3.200544e-02       1.031462e-01       5.717558e-02       8.165643e-02
         280       3.573514e-02       1.357740e-02       2.713136e-02       1.095984e-01       6.159452e-02       8.191046e-02
         290       6.360614e-02       1.115672e-02       2.930221e-02       1.200516e-01       5.034426e-02       8.731095e-02
         300       6.920223e-02       1.214380e-02       3.729982e-02       1.313624e-01       7.094684e-02       9.849954e-02
         310       6.730386e-02       1.889411e-02       3.567177e-02       1.492391e-01       6.232069e-02       9.737177e-02
         320       5.325072e-02       7.026554e-03       3.116627e-02       1.285234e-01       4.868397e-02       8.587524e-02
         330       5.834609e-02       1.309079e-02       3.354974e-02       1.255338e-01       5.518476e-02       8.540822e-02
         340       6.254961e-02       8.002074e-03       3.369245e-02       1.208542e-01       5.528755e-02       8.391518e-02
         350       7.250993e-02       1.271585e-02       3.941513e-02       1.447687e-01       4.171937e-02       9.795059e-02
         360       6.978111e-02       1.351048e-02       3.724801e-02       1.422472e-01       4.572205e-02       1.024570e-01
         370       6.532785e-02       9.758508e-03       3.052516e-02       1.116635e-01       6.601579e-02       8.810394e-02
         380       5.379898e-02       4.894734e-03       2.551875e-02       1.118505e-01       5.850149e-02       7.774370e-02
         390       5.868314e-02       8.810257e-03       2.970025e-02       9.340126e-02       6.158365e-02       7.659614e-02
         400       5.199124e-02       9.988634e-03       2.782421e-02       9.606893e-02       5.014322e-02       7.635098e-02
         410       4.815735e-02       6.247116e-03       2.766440e-02       1.278989e-01       5.654421e-02       8.673372e-02
         420       5.668503e-02       1.184170e-02       2.914260e-02       1.292984e-01       5.427083e-02       9.008926e-02
         430       5.168728e-02       9.775203e-03       2.770061e-02       1.157077e-01       5.653728e-02       8.404243e-02
         440       5.779679e-02       9.353965e-03       2.938629e-02       1.135402e-01       6.478482e-02       8.405731e-02
         450       4.843749e-02       6.817658e-03       2.695290e-02       1.054090e-01       5.658977e-02       7.686424e-02
         460       6.701971e-02       4.336130e-03       3.103049e-02       1.154160e-01       5.676703e-02       8.645680e-02
         470       7.645436e-02       9.772337e-03       4.228458e-02       1.664792e-01       7.741079e-02       1.032822e-01
         480       8.425751e-02       8.338182e-03       3.887034e-02       1.350463e-01       6.765040e-02       1.053116e-01
         490       9.017718e-02       6.674051e-03       4.687688e-02       1.476306e-01       5.323361e-02       1.120320e-01
         500       7.681137e-02       5.890843e-03       3.937358e-02       1.270064e-01       4.759987e-02       9.732190e-02
         510       7.041306e-02       7.875537e-03       3.528357e-02       1.224293e-01       5.050953e-02       9.430974e-02
         520       7.598803e-02       1.589563e-03       3.628813e-02       1.438893e-01       6.047925e-02       9.555560e-02
         530       7.513467e-02       7.696438e-03       3.557076e-02       1.385394e-01       5.907514e-02       9.453388e-02
         540       5.328382e-02       2.065090e-03       3.359648e-02       1.250634e-01       6.303812e-02       8.495023e-02
         550       5.426659e-02       1.071966e-02       3.383556e-02       1.079441e-01       6.891354e-02       8.796035e-02
         560       7.058776e-02       8.878483e-03       4.159003e-02       1.271202e-01       6.580379e-02       9.358566e-02
         570       8.101849e-02       1.034609e-02       4.467964e-02       1.213869e-01       5.784327e-02       8.829643e-02
         580       5.201286e-02       1.815086e-02       3.450514e-02       8.675675e-02       5.611230e-02       7.032177e-02
         590       5.867572e-02       1.670321e-02       3.629090e-02       1.195021e-01       6.964328e-02       8.621327e-02
         600       5.556987e-02       2.216688e-02       3.342349e-02       1.265540e-01       6.325631e-02       9.120367e-02
         610       4.975781e-02       1.678456e-02       2.970806e-02       1.625974e-01       6.444088e-02       9.089949e-02
         620       3.790387e-02       1.737097e-02       2.582155e-02       1.358501e-01       5.077683e-02       8.571561e-02
         630       3.276939e-02       1.251148e-02       2.542167e-02       1.120641e-01       5.688348e-02       8.443052e-02
         640       4.588231e-02       1.212065e-02       2.754768e-02       9.768628e-02       6.276439e-02       8.211217e-02
         650       5.038213e-02       7.441023e-03       2.832986e-02       1.250017e-01       5.817376e-02       8.229024e-02
         660       5.660950e-02       7.264134e-03       2.560102e-02       1.118906e-01       6.558090e-02       8.508433e-02
         670       7.115770e-02       5.350945e-03       3.566506e-02       1.130455e-01       6.745833e-02       9.301643e-02
         680       6.643898e-02       7.842754e-03       3.595593e-02       1.157704e-01       7.975895e-02       9.036092e-02
         690       8.292815e-02       5.473386e-03       4.089240e-02       9.618368e-02       6.358105e-02       8.441178e-02
         700       6.620977e-02       8.053455e-03       3.659297e-02       9.093023e-02       6.144091e-02       7.846560e-02
         710       5.103422e-02       9.846637e-03       2.625874e-02       6.765695e-02       4.684622e-02       5.716663e-02
         720       4.963291e-02       3.101930e-03       2.404222e-02       6.500336e-02       4.558534e-02       5.315080e-02
