#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.878868e-02       3.496768e-06       9.431395e-03       2.482581e-02       2.017571e-02       2.214774e-02
          10       1.202479e-02       3.661877e-03       7.771034e-03       3.560340e-02       1.407764e-02       2.258467e-02
          20       1.522311e-02       1.373778e-03       6.458199e-03       3.541101e-02       7.660426e-03       2.016070e-02
          30       4.431221e-03       3.747040e-04       2.879212e-03       1.404054e-02       4.098104e-03       9.705997e-03
          40       1.590197e-02       7.766468e-04       7.532162e-03       2.148816e-02       1.129465e-02       1.579321e-02
          50       2.607258e-02       8.964917e-04       1.289318e-02       3.811482e-02       1.300033e-02       2.418904e-02
          60       2.276379e-02       9.272196e-04       1.053844e-02       2.788719e-02       1.197481e-02       1.974613e-02
          70       1.820820e-02       1.219521e-03       8.859095e-03       2.187226e-02       1.071180e-02       1.723794e-02
          80       1.752191e-02       2.591968e-03       9.023539e-03       2.912492e-02       1.040667e-02       1.859631e-02
          90       1.386073e-02       9.317327e-04       7.410457e-03       2.552666e-02       8.084833e-03       1.545821e-02
         100       1.033886e-02       1.738187e-03       5.848912e-03       1.786776e-02       7.087801e-03       1.499040e-02
         110       7.795276e-03       1.827719e-03       5.355893e-03       2.380196e-02       9.757456e-03       1.701771e-02
         120       1.017424e-02       2.280235e-03       5.986783e-03       3.875728e-02       6.041036e-03       2.084077e-02
         130       1.455987e-02       1.679776e-03       7.762754e-03       3.891661e-02       1.582039e-02       2.507448e-02
         140       1.247160e-02       2.948240e-03       6.097238e-03       3.779277e-02       1.293924e-02       2.482155e-02
         150       8.505319e-03       3.319053e-03       5.534638e-03       2.307141e-02       8.979782e-03       1.661478e-02
         160       8.355199e-03       2.170863e-03       5.751294e-03       2.483576e-02       1.131283e-02       1.806925e-02
         170       5.315082e-03       6.899127e-04       3.037795e-03       1.987828e-02       8.601876e-03       1.345125e-02
         180       1.115284e-02       1.853114e-03       6.230477e-03       2.540378e-02       6.303603e-03       1.580700e-02
         190       1.541939e-02       3.478470e-04       8.571908e-03       3.358227e-02       9.457839e-03       1.782469e-02
         200       1.574041e-02       2.216781e-03       9.011291e-03       3.225408e-02       1.047526e-02       1.792197e-02
         210       1.229430e-02       1.554482e-03       7.361981e-03       3.024605e-02       6.604329e-03       1.570132e-02
         220       2.643145e-03       1.212993e-03       1.882676e-03       1.784022e-02       5.756175e-03       1.104595e-02
         230       7.070180e-03       2.160212e-03       5.023846e-03       1.786415e-02       6.997631e-03       1.240649e-02
         240       1.533379e-02       1.705251e-03       7.881485e-03       3.244567e-02       8.208849e-03       1.945640e-02
         250       1.099699e-02       4.523614e-03       6.388799e-03       3.149871e-02       7.821973e-03       1.995845e-02
         260       1.246579e-02       2.143492e-03       6.795343e-03       2.454437e-02       1.153394e-02       1.871851e-02
         270       1.389429e-02       1.272300e-03       7.031511e-03       2.838634e-02       1.026273e-02       2.051947e-02
         280       1.215883e-02       2.014715e-03       7.158449e-03       2.732710e-02       1.662365e-02       2.136924e-02
         290       8.419054e-03       1.823355e-03       4.031380e-03       1.621094e-02       8.544462e-03       1.237177e-02
         300       1.027193e-02       1.593728e-03       4.802622e-03       2.467813e-02       6.076908e-03       1.372686e-02
         310       1.053019e-02       3.161794e-04       4.878439e-03       1.822520e-02       7.287325e-03       1.074672e-02
         320       1.311219e-02       6.414765e-04       6.991092e-03       1.954040e-02       7.536991e-03       1.379919e-02
         330       1.057005e-02       9.468594e-04       5.388717e-03       1.521252e-02       1.037621e-02       1.277447e-02
         340       9.178351e-03       1.276923e-03       4.859181e-03       1.407698e-02       8.147669e-03       1.189938e-02
         350       9.182911e-03       2.227902e-03       5.442765e-03       1.877332e-02       8.112429e-03       1.397294e-02
         360       9.846752e-03       1.505715e-03       4.982317e-03       2.414590e-02       8.704145e-03       1.614429e-02
         370       1.156522e-02       2.159686e-03       5.053713e-03       2.165757e-02       8.239734e-03       1.530428e-02
         380       1.121375e-02       2.347027e-03       6.044414e-03       2.215125e-02       6.219732e-03       1.613709e-02
         390       1.020919e-02       1.981543e-03       5.643175e-03       2.405683e-02       1.431113e-02       1.977734e-02
         400       1.188927e-02       2.119242e-03       6.008474e-03       2.256641e-02       1.146303e-02       1.750752e-02
         410       1.237513e-02       2.320666e-03       6.411858e-03       2.591648e-02       7.371677e-03       1.687050e-02
         420       1.152495e-02       2.546578e-03       5.678380e-03       2.170754e-02       9.144020e-03       1.444541e-02
         430       1.161625e-02       3.663376e-03       5.869458e-03       1.814440e-02       9.962275e-03       1.427459e-02
         440       6.548997e-03       1.644846e-03       3.663868e-03       9.797946e-03       6.327206e-03       7.833866e-03
         450       4.350003e-03       1.418190e-03       2.897899e-03       9.728452e-03       5.976479e-03       7.438044e-03
         460       5.287668e-03       2.443759e-03       3.507119e-03       1.181391e-02       4.402710e-03       9.209922e-03
         470       4.918423e-03       5.846399e-04       3.313357e-03       1.014471e-02       5.417798e-03       7.686154e-03
         480       4.718524e-03       1.064603e-03       3.291882e-03       1.085649e-02       4.408265e-03       8.372835e-03
         490       6.231319e-03       1.876783e-03       4.045097e-03       1.633186e-02       4.714378e-03       9.279457e-03
         500       5.890673e-03       2.034960e-03       4.173357e-03       1.426160e-02       5.180691e-03       9.850560e-03
         510       9.276261e-03       1.807157e-03       5.015100e-03       2.307043e-02       6.308346e-03       1.416323e-02
         520       1.233868e-02       1.998773e-03       5.450759e-03       2.783187e-02       7.791505e-03       1.714643e-02
         530       6.651916e-03       2.057736e-03       4.335083e-03       2.734881e-02       1.174198e-02       1.872388e-02
         540       9.934888e-03       4.218601e-03       7.370784e-03       2.597555e-02       1.315489e-02       1.983212e-02
         550       7.197594e-03       1.588303e-03       4.940443e-03       2.322115e-02       8.113675e-03       1.594753e-02
         560       7.887708e-03       2.527060e-03       5.285217e-03       3.004243e-02       4.605132e-03       1.712377e-02
         570       6.965979e-03       1.645954e-03       5.160781e-03       3.848563e-02       5.687264e-03       2.590822e-02
         580       1.396935e-02       1.601535e-03       7.644217e-03       2.609086e-02       1.777490e-02       2.282373e-02
         590       7.258279e-03       1.395080e-03       4.260927e-03       1.641072e-02       4.760122e-03       1.204840e-02
         600       7.430666e-03       5.901282e-04       4.156840e-03       1.800966e-02       6.527462e-03       1.200621e-02
         610       7.205825e-03       9.766039e-04       3.699190e-03       1.689465e-02       7.245295e-03       1.204063e-02
         620       8.574944e-03       2.043473e-03       4.746590e-03       1.845228e-02       7.361352e-03       1.314302e-02
         630       8.963310e-03       2.127246e-03       5.258132e-03       3.113140e-02       8.309090e-03       1.783651e-02
         640       1.639492e-02       2.376185e-03       7.017730e-03       2.286786e-02       1.591934e-02       1.966707e-02
         650       1.507970e-02       1.726532e-03       6.862055e-03       3.607613e-02       9.222784e-03       1.751165e-02
         660       8.809155e-03       1.248818e-03       3.902610e-03       2.303627e-02       4.421097e-03       1.415122e-02
         670       1.331364e-02       3.898075e-03       7.177214e-03       2.711011e-02       8.405227e-03       1.740985e-02
         680       7.164977e-03       2.065936e-03       5.676160e-03       3.274680e-02       1.038628e-02       1.975972e-02
         690       1.178037e-02       3.008966e-03       7.128470e-03       3.231527e-02       1.174468e-02       2.330176e-02
         700       7.522966e-03       1.681978e-03       4.108833e-03       2.843328e-02       6.412296e-03       1.880221e-02
         710       7.483545e-03       3.025060e-03       4.855737e-03       2.239289e-02       8.130165e-03       1.367745e-02
         720       1.203566e-02       2.815494e-03       6.096559e-03       2.312333e-02       5.246029e-03       1.319595e-02
         730       1.033216e-02       1.001898e-03       5.244328e-03       2.449854e-02       5.908266e-03       1.550128e-02
         740       6.139876e-03       2.818062e-03       4.745818e-03       2.059851e-02       6.473904e-03       1.231191e-02
         750       1.140546e-02       1.791934e-03       5.899403e-03       2.590953e-02       5.847787e-03       1.378861e-02
         760       7.919800e-03       6.896756e-04       4.357876e-03       1.956430e-02       5.682796e-03       1.169937e-02
         770       9.059775e-03       1.568168e-03       5.123993e-03       1.743432e-02       8.181047e-03       1.239831e-02
         780       8.956725e-03       9.709616e-04       4.156595e-03       1.574832e-02       7.672238e-03       1.264160e-02
         790       9.856038e-03       2.001211e-03       4.905123e-03       2.718179e-02       1.024308e-02       1.696855e-02
         800       1.522590e-02       4.520880e-03       7.747461e-03       3.845957e-02       1.503498e-02       2.314685e-02
         810       9.273498e-03       1.880556e-03       5.498100e-03       3.115700e-02       1.448111e-02       2.048998e-02
         820       9.333755e-03       1.649079e-03       5.136931e-03       3.566919e-02       1.157224e-02       1.907604e-02
         830       9.940730e-03       4.053475e-03       6.134246e-03       2.366657e-02       1.205466e-02       1.719222e-02
         840       1.353915e-02       1.493735e-03       6.814329e-03       3.116204e-02       8.484359e-03       1.891332e-02
         850       6.499607e-03       2.179993e-03       3.762886e-03       1.727261e-02       5.010595e-03       1.048433e-02
         860       9.531515e-03       1.530097e-03       4.655400e-03       2.233185e-02       6.472097e-03       1.339567e-02
         870       8.292037e-03       1.998586e-03       4.990692e-03       1.575274e-02       7.885838e-03       1.191466e-02
         880       1.012438e-02       1.564593e-03       4.735334e-03       1.593775e-02       5.873145e-03       1.142548e-02
         890       1.055123e-02       1.596227e-03       5.143983e-03       1.478203e-02       7.392879e-03       1.237781e-02
         900       9.486053e-03       1.440323e-03       4.373226e-03       1.488336e-02       7.664045e-03       1.167524e-02
         910       8.569259e-03       1.249718e-03       4.271056e-03       1.587812e-02       9.494728e-03       1.209126e-02
         920       1.333870e-02       1.867512e-03       6.717252e-03       2.117874e-02       9.678722e-03       1.346873e-02
         930       7.694442e-03       1.405306e-03       4.526069e-03       1.883269e-02       5.435103e-03       1.303805e-02
         940       5.866360e-03       7.538093e-04       3.016394e-03       1.596294e-02       3.880444e-03       9.548578e-03
         950       4.246903e-03       1.027536e-03       2.292747e-03       1.565138e-02       7.398904e-03       1.091969e-02
         960       8.764988e-03       2.117109e-03       4.923353e-03       1.904316e-02       1.196287e-02       1.480632e-02
         970       8.731567e-03       2.981955e-03       5.507616e-03       2.822238e-02       1.132381e-02       2.066920e-02
         980       1.468812e-02       6.742321e-04       8.738184e-03       2.698806e-02       1.108812e-02       2.115817e-02
         990       8.314422e-03       2.724555e-03       6.199170e-03       2.321149e-02       7.310542e-03       1.563924e-02
        1000       9.525539e-03       2.146662e-03       4.479362e-03       2.081230e-02       8.490569e-03       1.602980e-02
