#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       8.025358e-03       2.276937e-03       4.782629e-03       1.929620e-02       8.758710e-03       1.426262e-02
          10       6.481617e-02       8.557865e-03       2.610321e-02       1.185147e-01       3.004502e-02       6.524976e-02
          20       3.661111e-02       3.776642e-03       2.186814e-02       1.087935e-01       2.470258e-02       5.812800e-02
          30       2.691340e-02       3.302132e-03       1.560382e-02       1.383023e-01       6.245088e-02       8.414949e-02
          40       4.299613e-02       7.899574e-03       2.814941e-02       1.323514e-01       4.977388e-02       7.929133e-02
          50       2.022837e-02       7.478010e-03       1.346232e-02       8.478096e-02       4.132132e-02       6.406373e-02
          60       5.183203e-02       6.638034e-03       2.841057e-02       7.948976e-02       4.214834e-02       6.270646e-02
          70       6.427500e-02       6.350339e-03       3.216357e-02       8.843988e-02       4.521246e-02       7.061067e-02
          80       5.178290e-02       1.110850e-02       2.698830e-02       9.678474e-02       4.581272e-02       6.639333e-02
          90       2.341929e-02       1.061650e-02       1.517895e-02       6.983040e-02       3.653355e-02       4.975556e-02
         100       5.260955e-02       1.072723e-02       2.546864e-02       1.164723e-01       4.373312e-02       7.629815e-02
         110       5.226121e-02       1.094848e-02       2.918649e-02       1.447914e-01       5.705938e-02       8.841681e-02
         120       4.860368e-02       1.378093e-02       2.635170e-02       1.192180e-01       5.847186e-02       8.764508e-02
         130       3.676103e-02       3.382288e-03       2.273207e-02       1.190111e-01       3.320203e-02       7.366923e-02
         140       2.738701e-02       2.447120e-03       1.619157e-02       8.170706e-02       2.737837e-02       5.642441e-02
         150       2.066794e-02       2.746709e-03       1.360421e-02       6.647099e-02       2.803877e-02       4.661228e-02
         160       2.690078e-02       7.019427e-03       1.656705e-02       8.182423e-02       2.520891e-02       5.242447e-02
         170       4.581619e-02       7.022219e-03       2.444940e-02       8.885623e-02       3.007377e-02       6.408330e-02
         180       4.551578e-02       1.007895e-02       3.040725e-02       1.069531e-01       4.670657e-02       8.240812e-02
         190       4.312348e-02       9.857345e-03       2.423786e-02       1.210578e-01       6.115439e-02       7.912396e-02
         200       4.413930e-02       9.249397e-03       2.365973e-02       1.685642e-01       5.753410e-02       8.684178e-02
         210       6.949174e-02       1.115757e-02       2.829468e-02       1.376791e-01       4.088252e-02       7.572107e-02
         220       5.451613e-02       7.087853e-03       2.471715e-02       9.937007e-02       3.733758e-02       6.593323e-02
         230       5.281286e-02       2.874928e-03       2.228673e-02       9.339477e-02       5.040743e-02       6.869388e-02
         240       5.644134e-02       4.703077e-03       2.223530e-02       6.399965e-02       3.340585e-02       5.383917e-02
         250       6.446728e-02       5.188999e-03       2.694262e-02       7.378990e-02       4.196733e-02       5.587048e-02
         260       6.356750e-02       7.920451e-03       3.187746e-02       8.985255e-02       4.648814e-02       6.451317e-02
         270       6.751648e-02       1.157078e-02       3.471186e-02       1.282225e-01       7.504977e-02       8.783754e-02
         280       5.413667e-02       1.064672e-02       2.680882e-02       1.244532e-01       5.137055e-02       7.593616e-02
         290       3.934974e-02       7.506872e-03       2.170825e-02       9.561332e-02       4.528918e-02       6.700073e-02
         300       3.369752e-02       5.921465e-03       1.802786e-02       9.425102e-02       4.704533e-02       6.573366e-02
         310       3.691713e-02       8.208043e-03       1.657982e-02       8.049290e-02       4.969816e-02       6.581432e-02
         320       4.835472e-02       4.692003e-03       1.844872e-02       7.194053e-02       4.647278e-02       6.076276e-02
         330       5.994626e-02       8.235500e-03       2.478958e-02       8.410896e-02       3.624710e-02       6.305865e-02
         340       4.031480e-02       8.048674e-03       2.040572e-02       1.274978e-01       4.717899e-02       7.613054e-02
         350       6.050290e-02       1.002079e-02       3.323221e-02       1.503359e-01       5.700319e-02       1.060354e-01
         360       6.510623e-02       9.106991e-03       3.625829e-02       2.648957e-01       6.582230e-02       1.274373e-01
         370       6.273683e-02       1.531558e-02       3.165355e-02       1.892532e-01       4.315888e-02       9.638260e-02
         380       3.835871e-02       7.311619e-03       1.789171e-02       9.087441e-02       4.036851e-02       6.417558e-02
         390       4.571614e-02       5.973348e-03       2.103549e-02       9.826945e-02       3.221121e-02       6.424369e-02
         400       3.829776e-02       1.344877e-02       1.981328e-02       7.945392e-02       3.290564e-02       5.379936e-02
         410       3.651896e-02       1.334893e-02       2.036521e-02       8.087552e-02       3.689013e-02       5.667483e-02
         420       3.841843e-02       1.417798e-02       2.257130e-02       7.878034e-02       3.662707e-02       6.041133e-02
         430       4.281801e-02       1.209065e-02       2.282404e-02       9.062241e-02       4.729317e-02       6.683420e-02
         440       5.680277e-02       1.246634e-02       2.976769e-02       1.089003e-01       7.132124e-02       8.120554e-02
         450       6.303038e-02       6.686069e-03       2.499032e-02       9.883008e-02       5.470677e-02       7.552229e-02
         460       3.930730e-02       5.195308e-03       2.150663e-02       9.333147e-02       4.186920e-02       6.538408e-02
         470       4.079741e-02       6.826562e-03       2.264184e-02       8.421605e-02       3.703952e-02       6.177420e-02
         480       4.013456e-02       6.499221e-03       2.113808e-02       8.179361e-02       4.030837e-02       5.879892e-02
         490       4.723171e-02       6.706902e-03       2.319495e-02       7.657291e-02       3.218512e-02       5.594230e-02
         500       4.690951e-02       8.348219e-03       2.276038e-02       7.611441e-02       3.972763e-02       5.729503e-02
         510       5.893467e-02       3.925366e-03       2.963951e-02       1.000315e-01       4.653370e-02       7.016553e-02
         520       4.409176e-02       6.089729e-03       2.716806e-02       1.041154e-01       3.834691e-02       7.275384e-02
         530       4.477056e-02       1.499588e-02       2.610939e-02       1.493751e-01       3.396522e-02       7.488677e-02
         540       4.302898e-02       1.341522e-02       2.639239e-02       1.164683e-01       3.086686e-02       7.074103e-02
         550       3.388468e-02       8.270286e-03       1.733466e-02       9.017875e-02       3.801964e-02       5.964964e-02
         560       3.461280e-02       4.522905e-03       1.832424e-02       6.932856e-02       3.112883e-02       5.239694e-02
         570       3.481495e-02       4.637368e-03       2.058974e-02       8.254770e-02       3.660239e-02       5.782785e-02
         580       5.865412e-02       7.111151e-03       3.012010e-02       1.019082e-01       3.589236e-02       6.515113e-02
         590       5.056350e-02       5.422287e-03       2.222105e-02       6.723142e-02       3.011195e-02       5.293411e-02
         600       6.776348e-02       3.949633e-03       3.087345e-02       1.040332e-01       3.150452e-02       6.699388e-02
         610       8.085976e-02       1.058076e-02       3.617191e-02       1.072138e-01       6.412816e-02       8.373695e-02
         620       5.799704e-02       8.405136e-03       2.668616e-02       8.976832e-02       4.984124e-02       7.020425e-02
         630       5.477840e-02       1.020758e-02       2.690807e-02       1.193258e-01       5.145303e-02       8.247505e-02
         640       6.072515e-02       7.812061e-03       2.738444e-02       1.038211e-01       5.634248e-02       7.784616e-02
         650       7.443089e-02       1.198768e-02       3.122868e-02       1.218785e-01       4.427685e-02       7.833809e-02
         660       8.458344e-02       7.786607e-03       3.261243e-02       8.793327e-02       3.258843e-02       6.921509e-02
         670       7.331612e-02       1.229761e-02       3.230401e-02       9.408594e-02       3.331704e-02       6.913512e-02
         680       7.819892e-02       1.474087e-02       3.661648e-02       1.430940e-01       3.453073e-02       8.165985e-02
         690       7.869577e-02       3.392700e-03       3.763867e-02       1.338152e-01       4.921126e-02       8.682959e-02
         700       7.933908e-02       8.586664e-03       3.443504e-02       1.125505e-01       3.898020e-02       7.506491e-02
         710       9.658257e-02       1.837566e-02       4.264101e-02       1.011129e-01       5.879793e-02       7.772256e-02
         720       7.608775e-02       1.874620e-02       3.609684e-02       1.000581e-01       4.683690e-02       7.248805e-02
         730       6.915268e-02       1.615485e-02       3.330712e-02       1.086249e-01       5.145781e-02       6.995164e-02
         740       5.679948e-02       1.767850e-02       2.865515e-02       8.264686e-02       4.903872e-02       6.515553e-02
         750       6.536141e-02       8.737405e-03       3.269982e-02       1.109168e-01       5.239725e-02       7.322162e-02
         760       5.527763e-02       1.615740e-02       3.143114e-02       1.018654e-01       5.077302e-02       6.914240e-02
         770       4.996524e-02       1.396245e-02       2.580413e-02       8.121421e-02       4.025439e-02       6.341385e-02
         780       6.397944e-02       1.952533e-03       2.825331e-02       1.037593e-01       3.538364e-02       6.703655e-02
         790       5.646016e-02       1.127199e-02       2.985114e-02       9.112497e-02       3.555970e-02       7.607003e-02
