#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.695287e-02       2.890701e-03       7.893567e-03       3.661293e-02       1.685273e-02       2.404584e-02
          10       3.379488e-02       6.192381e-03       1.599173e-02       6.303981e-02       2.389596e-02       4.339935e-02
          20       1.206827e-01       3.893826e-03       5.108994e-02       1.384066e-01       5.645214e-02       1.008310e-01
          30       6.777588e-02       6.654746e-03       3.610389e-02       1.086311e-01       6.188423e-02       8.083651e-02
          40       9.557245e-02       1.145815e-02       4.758601e-02       1.451738e-01       6.068894e-02       9.331319e-02
          50       6.160446e-02       1.051278e-02       3.045213e-02       1.113100e-01       3.453212e-02       6.922329e-02
          60       3.348877e-02       5.937997e-03       1.811524e-02       7.262431e-02       3.230731e-02       5.088084e-02
          70       5.395072e-02       7.077729e-03       2.550882e-02       8.672091e-02       4.085378e-02       6.174610e-02
          80       4.860843e-02       4.231909e-03       2.208398e-02       9.843365e-02       3.251234e-02       5.882830e-02
          90       4.620655e-02       8.188942e-03       2.557139e-02       7.761366e-02       4.341794e-02       6.348221e-02
         100       8.444174e-02       9.066973e-03       4.232582e-02       1.155614e-01       6.164386e-02       8.838282e-02
         110       6.136870e-02       7.804498e-03       3.145674e-02       1.082673e-01       5.302045e-02       7.669482e-02
         120       4.707883e-02       1.234494e-02       2.641906e-02       9.338759e-02       5.512084e-02       8.202059e-02
         130       3.533725e-02       1.054892e-02       2.172944e-02       1.005988e-01       4.931384e-02       6.926146e-02
         140       4.167314e-02       8.294045e-03       2.013653e-02       8.539677e-02       3.381548e-02       6.382971e-02
         150       5.286164e-02       6.247970e-03       2.640602e-02       1.015357e-01       4.517165e-02       6.661455e-02
         160       6.899148e-02       2.192518e-03       3.010892e-02       8.036495e-02       4.623571e-02       6.664859e-02
         170       8.882334e-02       1.028045e-02       3.855874e-02       9.966165e-02       6.554599e-02       8.271234e-02
         180       4.951896e-02       7.500742e-03       2.227814e-02       9.591386e-02       5.218608e-02       7.368053e-02
         190       3.100587e-02       1.383264e-02       2.141647e-02       9.089337e-02       4.308940e-02       7.204920e-02
         200       5.084807e-02       1.234828e-02       2.962023e-02       1.100429e-01       4.369010e-02       8.490665e-02
         210       4.785711e-02       1.247619e-02       2.714578e-02       1.026039e-01       4.427247e-02       7.445981e-02
         220       4.029669e-02       1.485962e-02       2.663350e-02       1.171994e-01       4.512349e-02       7.303674e-02
         230       3.475949e-02       8.714146e-03       1.963275e-02       9.818130e-02       2.754112e-02       6.088948e-02
         240       3.958192e-02       1.055970e-02       2.258667e-02       9.956765e-02       3.224364e-02       6.302538e-02
         250       5.208958e-02       6.603975e-03       2.589356e-02       8.666952e-02       5.219181e-02       6.340940e-02
         260       8.740287e-02       8.871838e-03       3.979266e-02       1.168067e-01       5.403092e-02       8.169982e-02
         270       5.822790e-02       9.754922e-03       3.417944e-02       9.625238e-02       5.845673e-02       7.553654e-02
         280       5.871506e-02       9.806165e-03       2.849861e-02       9.088329e-02       5.578937e-02       6.741457e-02
         290       5.879072e-02       8.123410e-03       2.940990e-02       7.707543e-02       6.040218e-02       6.955803e-02
